அங்கீகாரம்  ,recognition,அங்கீ3கார்,अङ्गीकार्,ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄
நகரசபை  ,municipality,நக3ர ஸபொ4 / க்3ராம ஸங்கொ4 / நக3ர பாலிகொ,"नगरसभा॑, ग्राम सङ्घा॑, नगर पालिका॑","ꢥꢔꢬꢱꢩꣁ, ꢔ꣄ꢬꢵꢪ ꢱꢖ꣄ꢕꣁ, ꢥꢔꢬ ꢦꢵꢭꢶꢒꣁ"
நடமாட்டம்  ,movement,சால்சலன்,चाल्चलन,ꢗꢵꢭ꣄ꢗꢭꢥ꣄
நடவடிக்கை  ,action,க்ரியாக்ரமொ,क्रियाक्रमा॑,ꢒ꣄ꢬꢶꢫꢵꢒ꣄ꢬꢪꣁ
நடுவணரசு  ,Central Government,மத்4யஸர்கார்,मध्य सर्कार,ꢪꢤ꣄ꢫ ꢱꢬ꣄ꢒꢵꢬ꣄
நடைபாதை  ,pavement,உலாஸு வாட்/ சலன் வாட்,"उलासुवाट, चलन्वाट","ꢆꢭꢵꢱꢸꢮꢵꢜ꣄, ꢗꢭꢥ꣄ꢮꢵꢜ꣄"
நஷ்ட ஈடு   ,compensation,நெஷ்டி நிவாரணொ,न॑ष्टि निवारणा॑,ꢥꢾꢰ꣄ꢜꢶ ꢥꢶꢮꢵꢬꢠꣁ
நாகரீகம்  ,civilization,நாக3ரீக்3/ ஸம்ஸ்க்ருதி,"नाग्रीग, सम्स्क्रुति","ꢥꢵꢔ꣄ꢬꢷꢔ꣄, ꢱꢪ꣄ꢱ꣄ꢒ꣄ꢬꢸꢡꢶ"
நாட்கூலி  ,daily wage,தி3ன்னு ஸொம்பு3ளொ,दिन्नु सा॑म्बुळा॑,ꢣꢶꢥ꣄ꢥꢸ ꢱꣁꢪ꣄ꢨꢸꢳꣁ
நாட்டினம்  ,local race (of a country),க்3ராம்யஜாத்/ ஸ்த2லீயஜாத்,"ग्राम्यजात, स्थलीयजात","ꢔ꣄ꢬꢵꢪ꣄ꢫꢙꢵꢡ꣄, ꢱ꣄ꢢꢭꢷꢫꢙꢵꢡ꣄"
நாட்டுக்கொடி  ,National Flag,ராஷ்ட்ர ஜ2ண்டா3வ்/ தே3ஸு  ஜ2ண்டா3வ்,"राष्ट्र झण्डाव, देसु झण्डाव","ꢬꢵꢰ꣄ꢜ꣄ꢬ ꢚꢠ꣄ꢞꢮ꣄, ꢣꢾꢱꢸ ꢚꢠ꣄ꢞꢵꢮ꣄"
நாட்டுப்பண்  ,National Anthem,ராஷ்ட்ர கீ3த் /தே3ஸு கீ3த்,"राष्ट्रगीत, देसुगीत","ꢬꢵꢰ꣄ꢜ꣄ꢬꢔꢷꢜ꣄, ꢣꢾꢱꢸꢔꢷꢜ꣄"
நாட்டுப்பற்று  ,patriotism,ராஷ்ட்ர ப4க்தி/ தே3ஸுப3க்தி,"राष्ट्र भक्ति, देसुभक्ति","ꢬꢵꢰ꣄ꢜ꣄ꢬ ꢩꢒ꣄ꢡꢶ, ꢣꢾꢱꢸꢩꢒ꣄ꢡꢶ"
நாட்டுரிமை  ,citizenship / nationality,நாக3ரீகதொ/ தே3ஸீயதொ,"नागरीकता॑, देसुयता॑","ꢥꢵꢔꢬꢷꢒꢡꣁ, ꢣꢾꢱꢶꢫꢡꣁ"
நாடாளுமன்றம்  ,parliament,லோக்ஸபொ4,लोक्सभा॑,ꢭꣂꢒ꣄ ꢱꢩꣁ
நாடு  ,country,ராஷ்ட்ரு/தே3ஸ்,"राष्ट्रु, देस","ꢬꢵꢰ꣄ꢜ꣄ꢬꢸ, ꢣꢾꢱ꣄"
நிகழ்ச்சி  ,event,கார்ய சாலனொ/ வைப4வ்,"कार्य चालना॑, वैभव","ꢒꢵꢬ꣄ꢫ ꢗꢵꢭꢥꣁ, ꢮꣀꢩꢮ꣄"
நிகழ்ச்சிநிரல்  ,"agenda, programme",கார்யக்ரமொ,कार्यक्रमा॑,ꢒꢵꢬ꣄ꢫꢒ꣄ꢬꢪꣁ
நிதி  ,fund,ஹன்னவ்/நிதி4,"हन्नवु, निघि","ꢲꢥ꣄ꢥꢮꢸ, ꢥꢶꢕꢶ"
நிதித்துறை  ,finance department,நிதி4விபா4க்3,नितिविभाग,ꢥꢶꢡꢶ ꢮꢶꢩꢵꢔ
நிபந்தனை  ,condition,நிபந்த3னொ,निपन्दना॑,ꢥꢶꢦꢥ꣄ꢣꢥꣁ
நிர்வாகம்  ,administration,நிர்வாஹ்,निर्वाह,ꢥꢶꢬ꣄ꢮꢵꢲ꣄
நிரல்  ,series/sequence,க்ரமொ,क्रमा॑,ꢒ꣄ꢬꢪꣁ
,,நிர்வாக்,निर्वाक्,ꢥꢶꢬ꣄ꢮꢵꢒ꣄
நிருபணம்  ,proof,நிரூபணொ/ப்ரமாண்/ருஜு,"निरुपणा॑, प्रमाण, रूजु","ꢥꢶꢬꢸꢦꢠꣁ, ꢦ꣄ꢬꢪꢵꢠ꣄, ꢬꢹꢙꢸ"
நிரை,range,ஸ்ரோணி,स्रेणि,ꢱ꣄ꢬꢿꢠꢶ
நிலவரி  ,land tax,தா2மு கரொ,थामु करा॑,ꢢꢵꢪꢸ ꢒꢬꣁ
நிறுவனம்  ,institute,ஸ்தா2பனொ,स्थापना॑,ꢱ꣄ꢢꢵꢦꢥꣁ
நிறை,merit,யோக்யதொ,योक्यता॑,ꢫꣂꢒ꣄ꢫꢡꣁ
நீதிபதி  ,judge,நீதிபதி/ நியாயாதி4பதி,"नीतिपति, नियायाधिपति","ꢥꢷꢡꢶꢦꢡꢶ, ꢥꢶꢫꢵꢫꢵꢤꢶꢦꢡꢶ"
நீதிமன்றம்  ,court,நீதிஸ்த2ல்,नीतिस्थल,ꢥꢷꢡꢶꢱ꣄ꢢꢭ꣄
நுகர்பொருள்கள்,consumer`s goods,உபயோகு3வஸ்துன்/ நுக3ன் வஸ்துன்,"उपयोगु वस्तुन, नुगन वस्तुन","ꢆꢦꢫꣂꢔꢸ       ꢮꢱ꣄ꢡꢸꢥ꣄, ꢥꢸꢔꢥ꣄ ꢮꢱ꣄ꢡꢸꢥ꣄"
நுகர்வு  ,consumption,உபயோக்3/ நுகி3னி,"उपयोग, नुगिनि","ꢆꢦꢫꣂꢔ, ꢥꢸꢔꢶꢥꢶ"
நுழைவு  ,entry,துர்னி/ ப்ரவேஶ்,"तुर्नि, प्रेवुश","ꢡꢸꢬ꣄ꢥꢶ, ꢦ꣄ꢬꢾꢮ꣄ꢯ꣄"
நெருக்கடி  ,crisis,இர்கட்/ஸங்க3ட்,"इर्कट, सङ्गट","ꢄꢬ꣄ꢒꢜ꣄, ꢱꢖ꣄ꢔꢜ꣄"
பகுப்பாய்வு  ,analysis,வகொ3பரிஸோத3னொ,वगा॑परिसोदना॑,ꢮꢔꣁ ꢦꢬꢶ ꢱꣂꢣꢥꣁ
பங்களிப்பு  ,contribution,ஸஹயோக்3,सहयोग,ꢱꢲꢫꣁꢔ꣄
பங்கு  ,share,வடொ,वटो,ꢮꢜꣁ
பஞ்சப்படி  ,dearness allowance,து3கா3ளு ஹன்னவ் /து3கா3ளு ப4ர்தொ,"दुगाळु हन्नव, दुगाळु भर्ता॑","ꢣꢸꢔꢵꢳꢸ ꢲꢥ꣄ꢥꢮ꣄, ꢣꢸꢔꢵꢳꢸ ꢩꢬ꣄ꢡꣁ"
பஞ்சம்  ,famine,து3கா3ள்,दुगाळ,ꢣꢸꢔꢵꢳ꣄꣄
பட்டாளம் / படை  ,army,ஸேனொ/பளொ,"सेना॑, पळा॑","ꢱꢿꢥꣁ, ꢦꢳꣁ"
பட்டி  ,bill,பி3ல்/ரஸீத்,"बिल्, रसीतु","ꢨꢶꢭ꣄, ꢬꢱꢷꢡꢸ"
பட்டியல்  ,list,ஜாபிதொ/ஜப்தொ,"जापिता॑, जप्ता॑","ꢙꢵꢦꢶꢡꣁ, ꢙꢦ꣄ꢡꣁ"
படி  ,allowance,ஸம்பா4வனொ,सम्भावना॑,ꢱꢪ꣄ꢩꢮꢥꣁ
படை எடுப்பு,"attack, aggression",ஹனி,हनि,ꢲꢥꢶ
படைக்கலம்  ,arms,ஜெ2டா3 அய்து3/ ஸேனா த3ளவாடு3ண்,"झ॑डा अय्दु, सेना दळवाडुण","ꢚꢾꢞꢵ ꢂꢫ꣄ꢣꢸ, ꢱꢿꢥꢵ ꢣꢳꢮꢵꢞꢸꢥ꣄"
படைத்தளபதி  ,army chief,ஸேனாபதி/ த3ளகர்தொ,"सेनापति, दलकर्ता॑","ꢱꢿꢥꢵꢦꢡꢶ, ꢣꢭꢒꢬ꣄ꢡꣁ"
படைப்பிரிவு  ,regiment,ஸேனா த3ள்,सेनादळ,ꢣꢿꢥꢵ ꢣꢳ꣄
பண்டங்கள்  ,commodity,பதா3ர்து2ன்/  பொ4ண்ணமுன்,"पदार्थुन, भा॑ण्णमुन","ꢦꢣꢵꢬ꣄ꢢꢸꢥ꣄, ꢩꣁꢠ꣄ꢠꢪꢸꢥ꣄"
பண்பாடு  ,culture,கலாசார்/ஸம்ஸ்க்ருதி,"कलाचार्, सम्स्क्रुति","ꢒꢭꢵꢗꢵꢬ꣄, ꢱꢪ꣄ꢱ꣄ꢒ꣄ꢬꢸꢡꢶ"
பணி  ,profession,உத்3யோக்3,उद्योग्,ꢆꢣ꣄ꢫꣂꢔ꣄
பணி நீக்கம்   ,dismissal (from job),காம் ஹெட்3ணி,काम ह॑ड्णि,ꢒꢵꢪ꣄ ꢲꢾꢞ꣄ꢠꢶ
பணி மாற்றம்   ,transfer,காம் மர்சினி,काम्मरिनि,ꢒꢪ ꣄ꢪꢬ꣄ꢗꢶꢥꢶ
பணி மூப்பு   ,seniority,காமு ஜேஷ்டபன்,कामु जेष्टपन,ꢒꢵꢪꢸ ꢙꢿꢰ꣄ꢜꢦꢥ꣄
பணியாளர்  ,employees,கார்யவான்,कार्यावान्,ꢒꢵꢬ꣄ꢫꢵꢮꢵꢥ꣄
பதவி  ,"position, job",பத3வி,पदवि,ꢦꢣꢮꢶ
பதவி இறக்கம்   ,demotion,பத3வி ஹுத்ராவ்,पदवि हुत्राव,ꢦꢣꢮꢶ ꢲꢸꢡ꣄ꢬꢵꢮ꣄
பதவி உயர்வு   ,promotion,பத3வி ஹிங்கா3வ்,पदवि हिङ्गाव,ꢦꢣꢮꢶ ꢲꢶꢖ꣄ꢔꢵꢮ꣄
பதவி ஏற்பு   ,sworn in,பத3வி க2ள்ளினி,पदवि खळ्ळिनि,ꢦꢣꢮꢶꢓꢳ꣄ꢳꢶꢥꢶ
பதவிக்காலம்  ,tenure,பத3விகால்,पदविकाल,ꢦꢣꢮꢶ ꢒꢵꢭ
பதிப்பாசிரியர்  ,editor,ஜ2ட்தி2/ஒத்3தி3,"झट्थि, ओद्दि","ꢚꢜ꣄ꢢꢶ, ꢏꢣ꣄ꢣꢶ"
பதிப்பு  ,edition,நிம்பினி/ ஸம்ஸ்கரணொ,"निम्पिनि, सम्स्करणा॑","ꢥꢶꢪ꣄ꢦꢶꢥꢶ, ꢱꢪ꣄ꢱ꣄ꢒꢬꢠꣁ"
பதிப்புரிமை  ,copy right,நிம்பினிபா3த்4யதொ ,निम्पि निबाध्यता॑,ꢥꢶꢪ꣄ꢦꢶꢥꢶ ꢨꢵꢤ꣄ꢫꢡꣁ
பதிலாள்  ,substitute,ப4ர்தி/பொ3து3ல்,"भर्ति, बा॑दुल","ꢩꢬ꣄ꢡꢶ, ꢨꣁꢣꢸꢭ꣄"
பதிவு  ,registration,பஞ்சிகொ / நிர்தே3ஸொ,"पञ्चिका॑, निर्देसा॑","ꢦꢛ꣄ꢗꢶꢒꣁ, ꢥꢶꢬ꣄ꢣꢿꢱꣁ"
பதிவேடு  ,register,பஞ்சிகா பத்தர்,पञ्चिका पत्तर,ꢦꢛ꣄ꢗꢶꢒꣁ ꢦꢡ꣄ꢡꢬ꣄
பயணிகள் விடுதி   ,travellers bungalow,ஸெத்தர்,स॑त्तर,ꢱꢾꢡ꣄ꢡꢬ꣄
பயனாளி  ,beneficiary,பொ4கு3னார்,भा॑गुनार,ꢩꣁꢔꢸꢥꢵꢬ꣄
பயிற்றுமொழி  ,medium of education,ஸிக்ஷா மாத்3யொ,सिक्षा माद्यो,ꢱꢶꢒ꣄ꢰꢵ ꢪꢵꢣ꣄ꢫꣁ
பராமரிப்பு  ,maintenance,பரிபாலனொ,परिपालना॑,ꢦꢬꢶꢦꢵꢭꢥꣁ
பரிசீலனை  ,consideration,பரிஸீலனொ,परिसीलना॑,ꢦꢬꢶꢱꢷꢭꢥꣁ
பரிந்துரை  ,recommendation,ஸுப3ர்சி,सुपर्चि,ꢱꢸꢦꢬ꣄ꢗꢶ
பரிமாற்றம்  ,exchange,பரிவர்தனொ,परिवर्तना॑,ꢦꢬꢶꢮꢬ꣄ꢡꢥꣁ
பற்றாக்குறை  ,"shortage, deficit",நிதி4உன்னொ/ பு2ரொ பு2ர்னாஸ்தே ,"निधिउन्ना॑, फुरा॑ फुर्नास्ते","ꢥꢶꢤꢶ ꢆꢥ꣄ꢥꣁ, ꢧꢸꢬꣁ ꢧꢸꢬ꣄ꢥꢵꢱ꣄ꢡꢾ"
பற்று  ,debit,பற்று/ ஜனி,"पर्रु, जनि","ꢦꢬ꣄ꢬꢸ, ꢙꢥꢶ"
பறிமுதல்  ,seize,அபஹரணொ,अपहरणा॑,ꢂꢦꢲꢬꢠꣁ
நீர்பாசனம்,irrigation,பனி ஸிஞ்சாவ்,पनि सिनन्चाव,ꢦꢥꢶ ꢱꢶꢛ꣄ꢗꢵꢮ꣄
பாதுகாப்பு  ,defence,ரக்ஷனொ,रक्षना॑,ꢬꢒ꣄ꢰꢥꣁ
பாராளுமன்றம்  ,parliament,லோக்ஸபொ4,लोक्सभा॑,ꢭꣂꢒ꣄ꢱꢩꣁ
பால்பண்ணை  ,dairy,தூ3த் உத்பாத3னஸாலொ,दूत उत्पादनसाला॑,ꢣꢹꢡ꣄ ꢆꢡ꣄ꢦꢵꢣꢥꢱꢵꢭꣁ
தேர்தல் பிரசாரம்  ,election campaign,சுனாவு ப்ரசார்,चुनावु प्रचार,ꢗꢸꢥꢵꢮꢸ ꢦ꣄ꢬꢗꢵꢬ꣄
பிணை  ,surety,ஜமீன்,जमीन,ꢙꢪꢷꢥ
பிணையம்  ,bail,ப4ர்தி,भर्ति,ꢩꢬ꣄ꢡꢶ
பிரதம அமைச்சர்   ,prime minister,ப்ரதா4ன்மந்திரி,प्रधान्मन्तिरि,ꢦ꣄ꢬꢤꢵꢥ꣄ ꢪꢥ꣄ꢡꢶꢬꢶ
பிரதிநிதி  ,representative,பொ3து3ல்வாதி,बा॑दुल्वाति,ꢨꣁꢣꢸꢭ꣄ ꢮꢵꢡꢶ
பிரதேசம்  ,territory,ப்ரதே3ஸு,प्रतेसु,ꢦ꣄ꢬꢡꢿꢱꢸ
பிரபு  ,lord,ப்ரபு4,प्रभु,ꢦ꣄ꢬꢩꢸ
பிரஜை,citizen,ப்ரஜொ,प्रजा॑,ꢦ꣄ꢬꢙꣁ
பிரிவு  ,cell (division),விபா4க3,विभाग,ꢮꢶꢩꢵꢔ
பிற்சேர்க்கை  ,appendix,அநுப3ந்து4,अनुबन्धु,ꢂꢥꢸꢨꢥ꣄ꢤꢸ
பிற்பட்ட வகுப்பினர்   ,backward class people,பஸ்கட்வர்கு3 ஸமூஹு / பஸ்கட் பொடெ3 ஸமூஹு,"पस्कट्वरगु समूहू, पस्कट बा॑ड॑ समूहु","ꢦꢱ꣄ꢒꢜ꣄ꢮꢬ꣄ꢔꢸ ꢱꢪꢹꢲꢸ, ꢦꢱ꣄ꢒꢜ꣄ ꢦꣁꢞꢾ ꢱꢪꢹꢲꢸ"
பிறப்பு வீதம்   ,birth rate,ஜன்மாந்த3ரமு,जन्मान्दरमु,ꢙꢥ꣄ꢪꢵꢥ꣄ꢣꢬꢪꢸ
பின்தங்கிய  ,back ward,பஸ்கடு3 ஸமூஹு,पस्कडु समूहु,ꢦꢱ꣄ꢒꢞꢸꢱꢪꢹꢲꢸ
பின்னிணைப்பு  ,appendix,அநுப3ந்து4,अनुबन्धु,ꢂꢥꢸꢨꢥ꣄ꢤꢸ
புகார்  ,complaint,புகா3ர்/ அபி4யோக3,"पुकार्, अभियोग","ꢦꢸꢒꢵꢬ꣄, ꢂꢩꢶꢫꣂꢔ"
புதுப்பித்தல்  ,renewal,நவீகரணொ/ நொவ்வ கெர்னி,"नोव्वकरणा॑, ना॑व्व क॑र्नि","ꢥꣁꢮ꣄ꢮꢒꢬꢠꣁ, ꢥꣁꢮ꣄ꢮꢒꢾꢬ꣄ꢥꢶ"
புரட்சி  ,revolution,க்ராந்தி,क्रान्ति,ꢒ꣄ꢬꢵꢥ꣄ꢡꢶ
புரளி  ,rumour,வத3ந்தி,वदन्ति,ꢮꢣꢥ꣄ꢡꢶ
புலனாய்வு  ,investigation,விசாரணொ/அன்வேஸனொ,"विचारणा॑, अन्वेसना॑","ꢮꢶꢗꢵꢬꢠꣁ, ꢂꢥ꣄ꢮꢿꢱꢥꣁ"
புறம்போக்கு  ,government land,ஸர்காரு தா2ம்,सर्कारु थाम,ꢱꢬ꣄ꢒꢵꢬꢸ ꢢꢵꢪ꣄
பெருக்கி,amplifier,விஸ்தார்/விலாஸ்,"विस्तार्, विलास्","ꢮꢶꢱ꣄ꢡꢵꢬ꣄, ꢮꢶꢭꢵꢱ꣄"
பெரும்பான்மை  ,majority,ப3ஹு ஸங்க்2யதொ,बहु सङ्ख्यता॑,ꢨꢲꢸ ꢱꢖ꣄ꢓ꣄ꢫꢡꣁ
பெருமம்  ,maximum,அதி4கதொ/உபிர்,"अधिकता॑, उपिर","ꢂꢤꢶꢒꢡꣁ, ꢆꢦꢶꢬ꣄"
பேரரசர்  ,emperor,ராஜாதி4 ரஜொ/ மா:ராட் /ஸாம்ராட் / சக்ரவர்தி,"राजाधि रजा॑, म्हाराट, साम्राट, सक्रवर्ति","ꢬꢵꢙꢵꢤꢶꢬꢙꣁ, ꢪꢴꢵꢬꢵꢜ꣄, ꢱꢵꢪ꣄ꢬꢵꢜ꣄, ꢗꢒ꣄ꢬꢮꢬ꣄ꢡꢶ"
பேரரசு  ,empire,லாம்ராஜ்யு/ ஸாம்ராஜ்யு,"लाम्राज्यु, साम्राज्यु","ꢭꢵꢪ꣄ꢬꢵꢙ꣄ꢫꢸ, ꢱꢵꢪ꣄ꢬꢵꢙ꣄ꢫꢸ"
பேரவை  ,general body,மஹாஸபொ4,महा सभा॑,ꢪꢲꢵ ꢱꢩꣁ
பேரூராட்சி  ,municipality,நக3ரபாலிகொ,नगर पालिका॑,ꢥꢔꢬꢦꢵꢭꢶꢒꣁ
பேரேடு  ,ledger,லெட்3ஜர்/வ்யக்தி லெ:க்கா புஸ்தவ்/பெரேட்,"ल॑ड्जर, व्यक्ति ल्ह॑क्का पुस्तव, पेरेट","ꢭꢾꢞ꣄ꢙꢬ꣄, ꢮ꣄ꢫꢒ꣄ꢡꢶ ꢭꢴꢾꢒ꣄ꢒꢵ ꢦꢸꢱ꣄ꢡꢮ꣄, ꢦꢾꢬꢿꢜ꣄"
பொதுக்கூட்டம்  ,public meeting,ஸாதா4ரணஸபொ4/ ஸார்வஜனிக் ஸபொ4,"साधारण सभा॑, सार्वजनिक सभा॑","ꢱꢵꢤꢵꢬꢥꢱꢩꣁ, ꢱꢵꢬ꣄ꢮꢙꢥꢶꢒ꣄ ꢱꢩꣁ"
பொதுத்துறை  ,public sector,ஸார்வஜனிக் விபா4க்3 /           லோக விபா4க்3,"सार्वजनिक्विभग, लोग विभाग","ꢱꢵꢬ꣄ꢮꢙꢥꢶꢒ꣄ ꢮꢶꢩꢵꢔ꣄, ꢭꣁꢒ ꢮꢶꢩꢵꢔ꣄"
பொதுநூலகம்  ,public library,லோக க்3ரந்தா2லயொ,लोक ग्रन्थालया॑,ꢭꣂꢒ ꢔ꣄ꢬꢥ꣄ꢢꢵꢭꢫꣁ
பொதுவிடுமுறை   ,public holiday,ஸாதா4ரண விராம்,साधारण विराम,ꢱꢵꢤꢵꢬꢠ ꢮꢶꢬꢵꢪ꣄
பொருளாதாரம்  ,economy,ஆர்தி2க ஸ்தி2தி,आर्थिक सथिति,ꢃꢬ꣄ꢢꢶꢒ ꢱ꣄ꢢꢶꢡꢶ
பொறுப்பு  ,incharge,கார்யபா4ர்,कार्यभार,ꢒꢵꢬ꣄ꢫꢩꢵꢬ꣄
போக்கு  ,trend,ஜனி/ப்ரவர்தி,"जनि, प्रवर्ति","ꢙꢥꢶ, ꢦ꣄ꢬꢮꢬ꣄ꢡꢶ"
போட்டி  ,competition,ஸ்பர்த4ன்/பொந்தி,"स्पर्धन, पा॑न्ति","ꢱ꣄ꢦꢬ꣄ꢤꢥ꣄, ꢦꣁꢥ꣄ꢡꢶ"
போர்  ,war,யுத்3து4,युद्धु,ꢫꢸꢣ꣄ꢤꢸ
போராட்டம்  ,agitation,ஆர்பா4டொ,आर्भाटो,ꢃꢬ꣄ꢩꢵꢜꣁ
