அங்கீகாரம்  ,recognition,அங்கீ3கார்,अङ्गीकार्,ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄
போராளி  ,fighter,ஆர்பா4டொ கெர்னார்/ யோத்3து4,"आर्भाटा॑ क॑र्नार, योद्धु","ꢃꢬ꣄ꢩꢵꢜꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄, ꢫꣁꢣ꣄ꢤꢸ"
மக்கள் தொகை   ,population,ஜன ஸங்க்2யொ,जन सङ्ख्या॑,ꢙꢥ ꢱꢖ꣄ꢓ꣄ꢫꣁ
மக்களவை  ,parliament,லோக்ஸபொ4,लोक्सभा॑,ꢭꣂꢒ꣄ꢱꢩꣁ
மத்திய அரசு   ,Central Government,மத்4யஸர்கார்/ கேந்த்3ர ஸர்கார்,"मध्यसर्कार, केन्द्र सर्कार","ꢪꢤ꣄ꢫꢱꢬ꣄ꢒꢵꢬ꣄, ꢒꢿꢥ꣄ꢣ꣄ꢬ ꢱꢬ꣄ꢒꢵꢬ꣄"
மதிப்பீடு  ,"estimate, assessment",ஆகலனொ,आकलना॑,ꢃꢒꢭꢥꣁ
மதிப்பு  ,value,மூல்ய நிர்தா4ரணொ,मूल्य निर्धारणा॑,ꢪꢹꢭ꣄ꢫ ꢥꢶꢬ꣄ꢤꢵꢬꢠꣁ
மதிப்பூதியம்  ,honorarium,பரிஸ்ராம ஸுல்கொ/ ஸம்பா4வனொ,"परिस्राम सुल्का॑, सम्भावना॑","ꢦꢬꢶꢱ꣄ꢬꢵꢪ ꢱꢸꢭ꣄ꢒꣁ, ꢱꢪ꣄ꢩꢵꢮꢥꣁ"
மதுவிலக்கு  ,prohibition,மது4 நிரோத4னொ,मधु निरोधना॑,ꢪꢤꢸ ꢥꢶꢬꣁꢤꢥꣁ
மந்திரி  ,minister,மந்த்ரி/ ஸசிவொ/ அமாத்யொ,"मन्त्रि, सचिवा॑, अमात्या॑","ꢪꢥ꣄ꢡ꣄ꢬꢶ, ꢱꢗꢶꢮꣁ, ꢂꢪꢵꢡ꣄ꢫꣁ"
மறுப்பு  ,denial,நா: மென்னி,न्हाम॑न्नि,ꢥꢴꢵꢪꢾꢥ꣄ꢥꢶ
மறுமலர்ச்சி  ,renaissance,புனர்பு2லனொ,पुनर्फुलना॑,ꢦꢸꢥꢬ꣄ꢧꢸꢭꢥꣁ
மறுவாழ்வு  ,rehabilitation,புனர் ஜீவனொ,पुनर जीवना॑,ꢦꢸꢥꢬ꣄ ꢙꢷꢮꢥꣁ
மன்னன்  ,king,ரஜொ/ராட்,"रजा॑, राट","ꢬꢙꣁ, ꢬꢵꢜ"
மனு  ,application,பிரார்த2னா பத்ரு/கொரி பத்ரு,"पिरार्थना पत्रु, का॑रि पत्रु","ꢦꢶꢬꢵꢬ꣄ꢢꢥꢵ ꢦꢡ꣄ꢬꢸ, ꢒꣁꢬꢶ ꢦꢡ꣄ꢬꢸ"
மாநகராட்சி  ,corporation,மஹா நக3ரபாலிகொ,महा नगरपालिका॑,ꢪꢲꢵ ꢥꢔꢬꢦꢵꢭꢶꢒꣁ
மாநாடு  ,conferance,ஸம்மேளனொ,सम्मेलना॑,ꢱꢪ꣄ꢪꢿꢭꢥꣁ
மாநில அரசு   ,state government,ப்ராந்தியஸர்கார்,प्रान्तिय सर्कार,ꢬꢵꢙ꣄ꢫ ꢱꢬ꣄ꢒꢵꢬ꣄
மாநிலம்  ,state (as in India),ப்ராந்து,प्रान्तु,ꢦ꣄ꢬꢵꢥ꣄ꢡꢸ
மாமன்னர்  ,emperor,ஸாம்ராட்,साम्राट,ꢱꢵꢪ꣄ꢬꢵꢜ
மார்க்சீயம்  ,Marxism,ஸாம்யவாத்3,साम्यवाद,ꢱꢵꢪ꣄ꢫꢮꢵꢣ꣄
மாவட்டம்  ,district,ஜில்லொ,जिल्ला॑,ꢙꢶꢭ꣄ꢭꣁ
மானியம்  ,grant,மான்யம்,मान्यम्,ꢪꢵꢥ꣄ꢫꢪ꣄
மீட்பு  ,recovery,புனர் ப்ராப்தி/,पुनर्प्राप्ति,ꢦꢸꢥꢬ꣄ ꢦ꣄ꢬꢵꢦ꣄ꢡꢶ
மீதி  ,balance,கவ்னி/உராவ்/கொவ்தா3யொ/ ஸேஸ்,"कव्नि, उराव, का॑व दाया॑, सेश","ꢒꢮ꣄ꢥꢶ, ꢆꢬꢵꢮ꣄, ꢒꣁꢮ꣄ ꢣꢵꢫꣁ, ꢱꢿꢱ꣄"
முகவர்  ,agent,ப்ரதிநிதி,प्रतिनिति,ꢦ꣄ꢬꢡꢶꢥꢶꢜꢶ
முடியரசு  ,monarchy,ஸாம்ராடு பாலனொ,साम्राटु पालना॑,ꢱꢵꢪ꣄ꢬꢵꢜꢸ ꢦꢵꢭꢥꣁ
முத்திரை  ,"seal, stamp",முத்3ரொ,मुद्रा॑,ꢪꢸꢣ꣄ꢬꣁ
முதல்  ,capital,மூலுத4ன்,मूलुधन,ꢪꢹꢭꢸꢤꢥ꣄
முதலமைச்சர்  ,chief minister,முக்ய மந்திரி,मुक्य मन्तिरि,ꢪꢸꢒ꣄ꢫ ꢪꢥ꣄ꢡꢶꢬꢶ
முதலாளி  ,capitalists,மூலத4னவான்,मूलधनवान,ꢪꢹꢭꢤꢥꢮꢵꢥ꣄
முதலாளித்துவம்  ,capitalism,த4னவானுபன்,धनवानुपन,ꢤꢥꢮꢵꢥꢸꢦꢥ꣄
மேல்முறையீடு  ,appeal,புனர்விசார ப்ரார்தனொ,पुनर्विचार प्रार्तना॑,ꢦꢸꢥꢬ꣄ ꢮꢶꢗꢵꢬ ꢦ꣄ꢬꢵꢬ꣄ꢡꢥꣁ
முன்படி  ,advance copy,ப்ராக்ப்ரதி,प्राक्प्रति,ꢦ꣄ꢬꢵꢒ꣄ꢦ꣄ꢬꢡꢶ
முன்னறிவிப்பு  ,forecast,பூர்வானுமான்,पूर्वानुमान,ꢦꢹꢬ꣄ꢮꢵꢥꢸꢪꢵꢥ꣄
முன்னுரிமை  ,priority,பை2ல பா3த்யதொ,फैल बात्यता॑,ꢧꣀꢭ ꢨꢵꢡ꣄ꢫꢡꣁ
முன்னேற்றம்  ,progress,அபி4விருத்3தி4,अभिविरुद्धि,ꢂꢩꢶꢮꢶꢬꢸꢣ꣄ꢤꢶ
,,"நீவி, மூலத4னமு","नीवि, मूलधनमु","ꢥꢷꢮꢶ, ꢪꢹꢭꢤꢥꢪꢸ"
மூலப்பொருள்  ,raw material,மூலவஸ்து,मूलवस्तु,ꢪꢹꢭꢮꢱ꣄ꢡꢸ
மெய்க்காப்பாளர்   ,body guard,அங்க3ரக்ஷகொ,आङ्गरक्षका॑,ꢃꢖ꣄ꢔꢬꢒ꣄ꢯꢒꣁ
மேடை  ,stage,மிட்டொ / மஞ்சு / வேதி3கொ,"मिट्टा॑, मञ्चु, वेदिका॑","ꢪꢶꢜ꣄ꢜꣁ, ꢪꢛ꣄ꢗꢸ, ꢮꢿꢣꢶꢒꣁ"
மேம்பாடு  ,development,அபி4வ்ருத்3தி4,अभिव्रुद्धि,ꢂꢩꢶꢮ꣄ꢬꢸꢣ꣄ꢤꢶ
மேல்சபை  ,legislative council,மேடினு விதா4ன் ஸபொ4,मेटिनु विधान सभा॑,ꢪꢿꢜꢶꢥꢸ ꢮꢶꢤꢵꢥ꣄ ꢱꢩꣁ
மேலதிகாரி  ,superior officer,உஞ்சஅதி4காரி,उञ्च अधिकारि,ꢆꢛ꣄ꢗ ꢂꢤꢶꢒꢵꢬꢶ
மேலாண்மை  ,management,நிர்வாஹ்/நியந்த்ரொ,"निर्वाह, नियन्त्रा॑","ꢥꢶꢬ꣄ꢮꢵꢲ꣄, ꢥꢶꢫꢥ꣄ꢡ꣄ꢬꣁ"
மேலாளர்  ,manager,ப்ரப3ந்த4கொ/ மேடு நிர்வாஹி,"प्रबन्धका॑, मेटु निर्वाहि","ꢦ꣄ꢬꢨꢥ꣄ꢤꢒꣁ, ꢪꢾꢜꢸ ꢥꢶꢮꢵꢲꢶ"
மேலிடம்  ,high command,உச்ச ஆஜ்ஞாகார்,उच्च आजञाकार,ꢆꢗ꣄ꢗ ꢂꢙ꣄ꢛꢵꢒꢵꢬ꣄
மேற்கோள்  ,quotation,உத4ரணொ/ உல்லேஹனொ/அவதாரணொ/அவதாரித வாக்யு,"उधारणा॑, उल्लेहना॑, अवतारणा॑, अवतारित वाक्यु","ꢆꢣ꣄ꢤꢬꢠꣁ, ꢆꢭ꣄ꢭꢾꢲꢥꣁ, ꢂꢮꢡꢵꢬꢠꣁ, ꢂꢮꢡꢵꢬꢶꢡ ꢮꢵꢒ꣄ꢫꢸ"
மேற்படி  ,ditto,ததே3வ,तदेव,ꢡꢣꢾꢮ
மைய அரசு   ,Central Government,மத்4யஸர்கார்,मध्य सर्कार,ꢪꢤ꣄꣄ꢫ ꢱꢬ꣄ꢒꢵꢬ꣄
மொழிபெயர்ப்பாளர்   ,translator,அனுவாத3கொ/தர்ஜமொ கெர்னார்,"अनुवादका॑, तर्जमा॑ क॑र्नार","ꢂꢥꢸꢮꢵꢣꢒꣁ, ꢡꢬ꣄ꢙꢪꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄"
யுத்தம்  ,war,யுத்3து4/ஜெ2டொ3 / மார்,"युद्धु, झ॑डा॑, मार","ꢫꢸꢣ꣄ꢤꢸ, ꢚꢾꢞꣁ, ꢪꢵꢬ꣄"
ராணி  ,queen,ரணி/ராணி,"रणि, राणि","ꢬꢠꢶ, ꢬꢵꢠꢶ"
ராணுவம்,army,பளொ/ஸேனொ,"पला॑, सेना॑","ꢦꢭꣁ, ꢱꢿꢥꣁ"
ராஜதுரோகி  ,traitor,ராஜது3ரோஹி,राज दुरोहि,ꢬꢵꢙ ꢣꢸꢬꣂꢲꢶ
ராஜா  ,king,ரஜொ/ராட்,"रजा॑, राट","ꢬꢙꣁ, ꢬꢵꢜ"
ராஜ்யசபை  ,upper house of the Parliament, ராஜ்ய ஸபொ4/ மேடு ஸபொ4,"राजयसभा॑,     मेटु सभा॑","ꢬꢵꢙꢫ ꢱꢩꣁ, ꢪꢾꢜꢸ ꢱꢩꣁ"
ராஜினாமா  ,resignation,ரஜினமொ,रजिनमा॑,ꢬꢙꢶꢥꢪꣁ
ராஷ்டிரபதி  ,president of the country,ராஷ்ட்ரபதி,राष्ट्रपति,ꢬꢵꢰ꣄ꢜ꣄ꢬꢦꢡꢶ
லஞ்சம்  ,bribe,மாமூல்/லெஞ்ஜம்,"मामूल्, लेञ्चम्","ꢪꢵꢪꢹꢭ꣄, ꢭꢾꢛ꣄ꢗꢪ꣄"
லோக்சபை  ,parliament,லோக்ஸபொ4,लोक सभा॑,ꢭꣁꢒ꣄ ꢱꢩꣁ
வங்கி  ,bank,வித்தகோஷ்,वित्तकोष,ꢮꢶꢡ꣄ꢡꢒꣁꢰ꣄
வசூல்  ,collection,ஹன்னவு ஸங்க்ரஹனொ/ வஸுல்,"हन्नवु सङ्क्रहना॑, वसुल","ꢲꢥ꣄ꢥꢮꢸ ꢱꢖ꣄ꢒ꣄ꢬꢲꢥꣁ , ꢮꢱꢸꢭ꣄"
வட்டம்  ,taluk,தாலுகா,तालूका,ꢡꢵꢭꢹꢒꢵ
வட்டாட்சியர்  ,tahsildar,தா3ஸில்தா3ர்,दासिल्दार,ꢣꢵꢱꢶꢭ꣄ꢣꢵꢬ꣄
வட்டாரம்  ,region,பிராந்த்யு,पिरान्त्यु,ꢦꢶꢬꢵꢥ꣄ꢡ꣄ꢫꢸ
வட்டாரமொழி  ,regional language,பிராந்த்ய பா4ஷொ,पिरान्तिय भाषा॑,ꢦꢶꢬꢵꢥ꣄ꢡꢶꢫ ꢩꢵꢰꣁ
வணிகம்  ,trade,பி4யார்/வாணிஜ்யொ,"भियार्, वाणिज्या॑","ꢩꢶꢫꢵꢬ꣄, ꢮꢵꢠꢶꢙ꣄ꢫꣁ"
வணிகவங்கி  ,commercial bank,பி4யாரு வித்த கோஷ்/ வணிக வித்த கோஷ்,"भियारु         वित्त कोष, वणिक वित्त कोष","ꢩꢶꢫꢵꢬꢸ ꢮꢶꢡ꣄ꢡ ꢒꣁꢰ꣄, ꢮꢠꢶꢒ ꢮꢶꢡ꣄ꢡ ꢒꣁꢰ꣄"
வணிகவரி  ,commercial tax,பி4யாருஸுல்கொ/ வணிகஸுல்கொ,"भियारुसुल्का॑, वणिक सुल्का॑","ꢩꢶꢫꢵꢬꢸ  ꢱꢸꢭ꣄ꢒꣁ, ꢮꢠꢶꢒ ꢱꢸꢭ꣄ꢒꣁ"
வதந்தி  ,rumour,கிம்வத3ந்தி/வத3ந்தி/ஜனஸ்ருதி,"किम्वदन्ति, वदन्ति, जनस्रुति","ꢒꢶꢪ꣄ꢮꢣꢥ꣄ꢡꢶ, ꢮꢣꢥ꣄ꢡꢶ, ꢙꢥꢱ꣄ꢬꢸꢡꢶ"
வர்த்தகம்  ,trade,ப்4யார்,भ्यार,ꢩ꣄ꢫꢵꢬ꣄
வரவு  ,credit,அவ்னி,अव्नि,ꢂꢮ꣄ꢥꢶ
வரி  ,tax,ஸுல்கொ/கரொ,"सुल्का॑, करा॑","ꢱꢸꢭ꣄ꢒꣁ, ꢒꢬꣁ"
வரிசை  ,rank,தொரண்/க்ரமொ/ஸ்ரேணி,"ता॑रण, क्रमा॑, स्रेणि","ꢡꣂꢬꢠ꣄, ꢒ꣄ꢬꢪꣁ, ꢱ꣄ꢬꢿꢠꢶ"
வரிவிதிப்பு  ,taxation,ஸுல்கநிர்ணயொ,सुल्कनिर्णया॑,ꢱꢸꢭ꣄ꢒꢥꢶꢬ꣄ꢠꢫꢸ
வருமானம்  ,income,உச்லாவ்/ஜொடு3ம்புல்,"उच्लाव, जा॑डुम्बुल","ꢆꢗ꣄ꢭꢵꢮ꣄, ꢙꣁꢞꢸꢪ꣄ꢨꢸꢭ꣄"
வருமான வரி   ,income tax,உச்லாவுஸுல்கொ/உச்லாவு கரொ,"उच्लावु सुल्का॑, उच्लावु करा॑","ꢆꢗ꣄ꢭꢵꢮꢸ ꢱꢸꢭ꣄ꢒꣁ, ꢆꢗ꣄ꢭꢵꢮꢸ ꢒꢬꣁ"
வருவாய்  ,revenue,ராஜ்ய ஆதா3யு,राज्य आदायु,ꢬꢵꢙ꣄ꢫ ꢃꢣꢵꢫꢸ
வரையறை  ,restrictions,ந்யந்த்ரணொ/ ப்ரதிப3ந்து4/ வகொ3தொகொ3,"न्यन्त्रणा॑, प्रतिबन्धु, वगा॑ता॑गा॑","ꢥ꣄ꢫꢥ꣄ꢡ꣄ꢬꢠꣁ, ꢦ꣄ꢬꢡꢶꢨꢥ꣄ꢤꢸ, ꢮꢔꣁꢡꣁꢔꣁ"
வரைவோலை/ வரைவு,draft,வித்த லேகு2          (Bank draft) /       ப்ராக் லேக2னொ (letter draft),"वित्त लेखु, प्राक लेखना॑","ꢮꢶꢡ꣄ꢡ ꢭꢿꢓꢸ, ꢦ꣄ꢬꢵꢒ꣄ ꢭꢾꢓꢥꣁ"
வல்லுநர்  ,expert,நிபுணொ,निपुणा॑,ꢥꢶꢦꢸꢠꣁ
வலஞ்சுழி  ,clockwise turn,ஜைன பி2ர்னி/ ப்ரத3க்ஷனொ,"जैन फिर्नि, प्रदक्षना॑","ꢙꣀꢥ ꢧꢶꢬ꣄ꢥꢶ, ꢦ꣄ꢬꢣꢒ꣄ꢰꢥꣁ"
வழக்கறிஞர்  ,lawyer,வக்கீல்,वक्कील्,ꢮꢒ꣄ꢒꢷꢭ꣄
வழக்காறு  ,usage,ரூடி4,रूढि,ꢬꢹꢟꢶ
வழிகாட்டி  ,guide,மார்க3த3ர்ஸி/வாட்தெ3க்கட்3ணார்,"मार्ग दर्सि,     वाट देक्कड्णार","ꢪꢵꢬ꣄ꢒꢣꢬ꣄ꢱꢶ, ꢮꢵꢜ꣄ ꢣꢾꢒ꣄ꢒꢞ꣄ꢠꢵꢬ꣄"
வழிமுறை  ,process,கெரன்வாட்,क॑रन्वाट्,ꢒꢾꢬꢥ꣄ꢮꢵꢜ꣄
வறட்சி  ,drought,து3கா3ள்,तुगाळ,ꢡꢸꢔꢵꢳ꣄
வறுமை  ,poverty,த3ரித்3ரதொ/தெ3ள்டி3ரிபன்,"दरिद्रता॑, द॑ल्डिरिपन","ꢣꢬꢶꢣ꣄ꢬꢡꣁ, ꢣꢾꢭ꣄ꢞꢶꢬꢶꢦꢥ꣄"
வன்முறை  ,violence,உக்3ரபன்,उग्रपन,ꢆꢔ꣄ꢬꢦꢥ꣄
வாக்காளர்  ,voter,வாக் தெ3னார்/ மத தா3தொ,"वाक् द॑नार, मतदाता॑","ꢮꢵꢒ꣄ ꢣꢾꢥꢵꢬ꣄, ꢪꢡꢣꢵꢡꣁ"
வாக்கு  ,vote,வோட்/மததா3ன்/ வாக்3தா3ன்,"वोट, मतदान, वाग्दान","ꢮꣂꢜ꣄, ꢪꢡꢣꢵꢥ꣄, ꢮꢵꢔ꣄ꢣꢵꢥ꣄"
வாக்குச்சீட்டு  ,ballot paper,வாகு பத்ரு,वाकु पत्रु,ꢮꢵꢒꢸ ꢦꢡ꣄ꢬꢸ
வாடகை  ,house rent,ப3ட்கெ,बट्क॑,ꢨꢜ꣄ꢒꢾ
வாதி  ,plaintiff,வாதி,वाति,ꢮꢵꢡꢶ
வாரிசு  ,heir,வார்ஸு/உத்ராதி4காரி,"वार्सु, उत्राधिकारि","ꢮꢵꢬ꣄ꢱꢸ, ꢆꢡ꣄ꢬꢵꢤꢶꢒꢵꢬꢶ"
வாரியம்  ,board/ corporation,ஸமிதி,समिति,ꢱꢪꢶꢡꢶ
விகிதம்  ,ratio,அனுபாத்,अनुपात,ꢂꢥꢸꢦꢵꢡ꣄
விசாரணை  ,enquiry,விசாரணொ,विचारणा॑,ꢸꢮꢶꢗꢵꢬꢠꣁ
விடுதலை  ,independence,ஸ்வாதந்த்ரு,स्वातन्त्रु,ꢱ꣄ꢮꢵꢡꢥ꣄ꢡ꣄ꢬꢸ
விடுப்பு  ,leave,ஸொட்3னி/ஸொட்3வார்,"सा॑ड्नि, सा॑ड्वार","ꢱꣁꢞ꣄ꢥꢶ, ꢱꣁꢞ꣄ꢮꢵꢬ꣄"
விடுமுறை,holiday,ஸோடி3,सोडि,ꢱꣂꢞꢶ
விபத்து  ,accident,விப3த்து,विपत्तु,ꢮꢶꢦꢡ꣄ꢡꢸ
விமானப்படை  ,air force,வாயுஸேனொ,वायुसेना॑,ꢮꢵꢫꢸꢱꢾꢥꣁ
விரிசல்  ,crack,பா2ட்3,फाड्,ꢧꢵꢞ꣄
வில்லை  ,badge,பி3ல்லொ,बिल्ला॑,ꢨꢶꢭ꣄ꢭꣁ
விலைபட்டியல்,price index,மோலுஜப்தொ/மோலு அட்டவனொ,"मोलुजप्ता॑, मोलु अट्टवना॑","ꢪꣁꢭꢸ ꢙꢦ꣄ꢡꣁ, ꢪꣁꢭꢸ ꢂꢜ꣄ꢜꢮꢥꣁ"
விவாதம் `,"discussion, debate",விவாத்3/ வாக்3விவாத்3,"विवाद, वाग्विवाद","ꢮꢶꢮꢵꢣ꣄, ꢮꢵꢔ꣄ꢮꢶꢮꢵꢣ꣄"
விழா  ,function,உத்ஸவ்/வைப4வ்,"उत्सव, वैभव","ꢆꢡ꣄ꢱꢮ꣄, ꢮꣀꢩꢮ꣄"
விழுக்காடு  ,percent,ப்ரதிஶத்/ப்ரதிஶோது,"प्रतिशत, प्रतिशा॑तु","ꢦ꣄ꢬꢡꢶꢯꢡ꣄, ꢦ꣄ꢬꢡꢶꢯꣁꢡꢸ"
விளம்பரம்  ,advertisement,விஜ்ஞாபனொ/ ப்ரகாஷனொ,"विजञापना॑, प्रकाषना॑","ꢮꢶꢙ꣄ꢛꢵꢦꢥꣁ, ꢦ꣄ꢬꢒꢵꢬꢰꢥꣁ"
விற்பனை வரி  ,sales tax,விக்கினி கரொ,विक्किनि करा॑,ꢮꢶꢒ꣄ꢒꢶꢥꢶ ꢒꢬꣁ
விகிதம்,rate,த3ரொ,दरा॑,ꢣꢬꣁ
வேட்பாளர்  ,candidate (for election),அபே4க்ஷகொ/,अभेक्षका॑,ꢂꢩꢾꢒ꣄ꢯꢒꣁ
வேட்பு  ,candidature,அபே4க்ஷு,अभेक्षु,ꢂꢩꢾꢒ꣄ꢰꢸ
வேலை நிறுத்தம்   ,strike,காம்ஹிப்3ப3ட்3ணி,काम्हिब्ट्णि,ꢒꢵꢪ꣄ ꢲꢶꢨ꣄ꢨꢜ꣄ꢠꢶ
வேளாண்மை  ,agriculture,க்ருஷி,क्रुषि,ꢒ꣄ꢬꢸꢰꢶ
வைப்புத்தொகை  ,fixed deposit, வின்யாஸ்,विन्यास,ꢮꢶꢥ꣄ꢫꢵꢱ꣄
வாக்கு,vote,வோட்/மததா3ன்/வாக்3தா3ன்,"वोट, मतदान, वाग्दान","ꢮꣂꢜ꣄, ꢪꢡꢣꢵꢥ꣄, ꢮꢵꢔ꣄ꢣꢵꢥ꣄"
ஜனநாயகம்  ,democracy,லோக தந்த்ரு/ப்ரஜா தந்த்ரு/ஜன தந்த்ரு,"लोक तन्त्रु, प्रजा तन्त्रु, जन तन्त्रु","ꢭꣁꢒ ꢡꢥ꣄ꢡ꣄ꢬꢸ, ꢦ꣄ꢬꢙꢵ ꢡꢥ꣄ꢡ꣄ꢬꢸ, ꢙꢥ ꢡꢥ꣄ꢡ꣄ꢬꢸ"
ஜனாதிபதி  ,president,ஜனாதி4பதி,जनादिपति,ꢙꢥꢵꢣꢶꢦꢡꢶ