alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
அண்டு3னு,aNDunu,சூல்கள்,Ovules,பராக3ணாக் ப2ராது அண்டு3 பீ3க்கன் ஹோஸு,paraagaNaak pharaatu aNDu beekkan hOsu,மகரந்தச் சேர்க்கைக்குப் பிறகு சூல் விதையாக உருவாகிறது,Ovule develops into seed after pollination
சூளுநாளு,cooLunaaLu,சூல் தண்டு,Ovule stalk,சூளுநாளு கொனாம் பூ2ல் பு2லஸு,cooLunaaLu konaam phool phulasu,சூல் தண்டின் முனையில் பூ பூக்கிறது,The flower blooms at the end of the stalk
ஜீவணு,jeevaNu,மகரந்தம்,Pollen,த3ல்லா பூ2ல் ஜீவணுக் ப4ராட் ஸொட3ஸு,dallaa phool jeevaNuk bharaaT soDasu,ஆண் பூக்கள் மகரந்தத்தை வெளியிடுகின்றன,Male flowers release pollen
பராக3ணொ,paraagaNo,மகரந்தச் சேர்க்கை,Pollination,மை ம்ஹகி2 பராக3ணாக் ஸஹாவ் கெரஸு,mai mhakhi paraagaNaak sahaav kerasu,தேனீக்கள் மகரந்தச் சேர்க்கைக்கு உதவுகின்றன,Honey bees help in pollination
பிந்தொ3,pindo,பிஞ்சு,Tender fruit,வள்கா பிந்தொ3 ருசிகன் ர்ஹாயி,vaLkaa pindo rucikan rhaayi,வெள்ளரிகாய் பிஞ்சு சுவையாக இருக்கும்,Tender cucumber is very tasty
கொம்ப்3ளொ,kombLo,இளசு,Tender leaf,நாய்ப்பான் வேன் கொம்ப்3ளொ ஸே,naayppaan vEn kombLo sE,வெற்றிலை மிகவும் இளசாக உள்ளது,Betel leaves are very tender
கய்லோ,kaylO,காய்,Unripe,இம்ப்3ளொ அங்கு3 கய்லொகன் ஸே,imbLo anggu kaylokan sE,கொய்யாப்பழம் இன்னும் காயாக உள்ளது,The guava fruit is still unripe
கச்செ,kacce,"பச்சையான, பழுக்காத",Green or Unripe,கச்செ மிர்க்கைலொ திக்கெ வேன் ர்ஹாயி,kacce mirkkailo tikke vEn rhaayi,பச்சை மிளகாய் காரம் அதிகம் இருக்கும்,Green chillies are very spicy
பிக்கெ,pikke,பழுத்த,Ripe,பிக்கெ பொள்ளள்னு கு3ல்லெகன் ர்ஹாயி,pikke poLLaLnu gullekan rhaayi,பழுத்த பழங்கள் இனிப்பாக இருக்கும்,Ripe fruits are sweet
பொள்ளொ,poLLo,பழம்,Fruit,ஹுனளாம் ஜு2கு3 பொள்ளான் அப்3ப3யி,hunaLaam jhugu poLLaan abbayi,கோடையில் நிறைய பழங்கள் கிடைக்கும்,A lot of fruits are available in summer
தொவ்டொ3,tovDo,பழத்தோல்,Peel,ஒஜனான் பொள்ளாம்பா3 தொவ்டா3க் கா2ஸுன்,ojanaan poLLaambaa tovDaak khaasun,சிலர் மாம்பழத்தோலை சாப்பிடுவார்கள்,Some eat mango peel
எல்லிர்,ellir,இளநீர்,Tender Coconut,எல்லிர் ஆங்கு3 ஹுன்னாக் க2ட3யி,ellir aanggu hunnaak khaDayi,இளநீர் உடல் சூட்டை குறைக்கும்,Tender Coconut reduces stomach heat
கௌனல்,kaunal,பச்சை இளநீர்,Green tender coconut,கௌனல் ஸோக் அண்சயி,kaunal sOk aNcayi,பச்சை இளநீர் தாகத்தை தணிக்கும்,Green tender coconut quenches thirst
ஸௌனல்,saunal,முதிர்ந்த இளநீர்,Mature tender coconut,ஸௌனல் ஆங்கு3க் சொக்கடு3,saunal aangguk cokkaDu,சிவப்பு இளநீர் உடலுக்கு மிகவும் நல்லது,Mature tender coconut is better for the body
நரெள்,nareL,தேங்காய்,Coconut,நரெள் ஹட்கானுக் பொ3லம் கெரயி,nareL haTkaanuk bolam kerayi,தேங்காய் எலும்புகளை பலப்படுத்தும்,Coconut strengthens bones
கெளொ,keLo,வாழைப்பழம்,"Banana, Ripe Plantain",கெளொ தெ3ள்கொ பொட3த்தக் ஸஹாவ் கெரஸு,keLo deLko poDattak sahaav kerasu,வாழைப்பழம் எடை அதிகரிக்க உதவுகிறது,Banana helps in weight gain
கச்சம்பொ3,kaccambo,மாங்காய்,Mango,கச்சம்பொ3 வேன் க2யெத் போட் து3க்காயி,kaccambo vEn khayet pOT dukkaayi,மாங்காய் அதிகம் சாப்பிட்டால் வயிறு வலிக்கும்,Eating too much mango will cause stomach ache
பொள்ளாம்பொ3,poLLaambo,மாம்பழம்,Ripe Mango,பொள்ளாம்பொ3 பா4ரது ராஷ்ட்ரீயொ பொள்ளொ,poLLaambo bhaaratu raashTreeyo poLLo,மாம்பழம் இந்தியாவின் தேசிய பழம்,Mango is the national fruit of India
பெ3ஸமு,besamu,பழத்தின் சதைப்பகுதி,Fleshy part of the fruit,பெ3ஸம் கொ2ப்3பி3ம் கு3ள்ளெகன் ர்ஹாயி,besam khobbim guLLekan rhaayi,பழத்தின் சதைப்பகுதி எப்போதும் இனிப்பாக இருக்கும்,The fleshy part of the fruit is always sweet
கீத்,keet,"சுளை, பழத்துண்டு",Slice of a fruit,பிள்ளல்னுக் கச்சம்பா3 கீத் ஒப்பாயி,piLLalnuk kaccambaa keet oppaayi,குழந்தைகளுக்கு மாம்பழத் துண்டு பிடிக்கும்,Kids like mango slice
பொ2ன்னிஸு பொள்ளொ,phonnisu poLLo,பலாப்பழம்,Jackfruit,மை ருசி பொ2ன்னிஸு பொள்ளா விஶேஷணொ,mai ruci phonnisu poLLaa vissEshaNo,தேன் சுவை பலாப்பழத்தின் சிறப்பு,Honey flavor is the specialty of jackfruit
கிச்2சி2ர்,kichchir,ஆரஞ்சு,Orange,கிச்2சி2ர் விட்டமின் - சி தே3ஸு,kichchir viTTamin - ci dEsu,ஒரு ஆரஞ்சு வைட்டமின் சி அளிக்கிறது,An orange provides vitamin C
தி3ராக்ஷெ,diraakshe,திராட்சை,Grape,தி3ராக்ஷென் கு3சொ கு3சொகன் ஹொட3யி,diraakshen guco gucokan hoDayi,திராட்சைகள் கொத்து கொத்தாக வளரும்,Grapes grow in bunches
த3க்கு,dakku,"கொடிமுந்திரி, திராட்சைப்பழம்",Grape,த3க்கு ரெஸ்ஸு மொதொ3 தே3யி,dakku ressu modo dEyi,திராட்சை ரசம் போதை தரும்,Grape juice is intoxicating
ஸீதல்பொள்ளொ,seetalpoLLo,சீதாப்பழம்,"Custard Apple, Sugar-apple",ஸீதல்பொள்ளொ ஜீர்ணுக் பி4ள்ளொ கெரஸு,seetalpoLLo jeerNuk bhiLLo kerasu,சீதாப்பழம் செரிமானத்தை மேம்படுத்துகிறது,Sugar-apple improves digestion
த4னிம் பொள்ளொ,dhanim poLLo,மாதுளம்பழம்,Pomegranate,த4னிம் பொள்ளொ ரெகது3 கி3ண்ணிக் வேன் கெரஸு,dhanim poLLo rekadu giNNik vEn kerasu,மாதுளை இரத்த எண்ணிக்கையை அதிகரிக்கிறது,Pomegranate increases blood count
த3ளிம் பொள்ளொ,daLim poLLo,மாதுளம்பழம்,Pomegranate,த3ளிம் பொள்ளொ ரெகது3க்ஷயமுக் சொக்கடு3,daLim poLLo rekadukshayamuk cokkaDu,மாதுளை இரத்த சோகைக்கு நல்லது,Pomegranate is good for anemia
த3ணிங்கைலொ,daNingkailo,மாதுளங்காய்,Unripe Pomegranate,த3ணிங்கைலா பி3ஜ்ஜட் கை2ராஸ்யா?,daNingkailaa bijjaT khairaasyaa?,மாதுளங்காய் ஊறுகாய் சாப்பிட்டதுண்டா?,Have you eaten Pomegranate Pickles?
சி2க்கொ,chikko,சப்போட்டா,"Sapodilla, Chikoo fruit",சி2க்கொ கெண்டா3க் புஷ்டி கெரஸு,chikko keNDaak pushTi kerasu,சப்போட்டா சருமத்திற்கு ஊட்டமளிக்கிறது,Sapodilla nourishes the skin
கி4ராஸு பொள்ளொ,ghiraasu poLLo,அன்னாசிப்பழம்,Pineapple,கி4ராஸு பொள்ளொ கு3ண்டெ3ன் து3ன்னொ அவ்னாத்தக் கப3ட3ஸு,ghiraasu poLLo guNDen dunneaa avnaattak kabaDasu,அன்னாசிப்பழம் மாரடைப்பு வராமல் பாதுகாக்கிறது,Pineapple protects against heart attacks
ஜா2டு3 பொள்ளொ,jhaaDu poLLo,அன்னாசிப்பழம்,Pineapple,ஜா2டு3 பொள்ளா ருசி அம்ப3ட் கு3ள்ளெகன் ர்ஹாயி,jhaaDu poLLaa ruci ambaT guLLekan rhaayi,அன்னாசிப்பழத்தின் சுவை புளிப்பு இனிப்பாக இருக்கும்,The taste of pineapple is sour and sweet
ல்ஹொவொ பொள்ளொ,lhovo poLLo,ஆப்பிள்,Apple,நிச்சு ஒண்ட ல்ஹொவொ பொள்ளொ க2யெத் ஒய்து3க் து3தூ3ர் தொ2வாய்,niccu oNTa lhovo poLLo khayet oyduk dudoor thovaay,ஒரு நாளைக்கு ஒரு ஆப்பிள் சாப்பிட்டால் மருத்துவரைத் தள்ளி வைக்கலாம்,An apple a day can keep the doctor away
கொய்யாபொள்ளொ,koyyaapoLLo,கொய்யாபழம்,Guaua,"கொய்யாபொள்ளாம் ல்ஹொவொ, ஹுஜால் மெனி தீ3 ப்ரகார்னு ஸே","koyyaapoLLaam lhovo, hujaal meni dee prakaarnu sE","கொய்யாப் பழத்தில் சிவப்பு, வெள்ளை என இரண்டு வகைகள் உள்ளன","There are two varieties of guava fruit, red and white"
இம்ப்3ளொ,imbLo,கொய்யாப்பழம்,Guaua,இம்ப்3ளொ மல ப4ந்தி3னிக் திர்ச்சயி,imbLo mala bhandinik tirccayi,கொய்யாப்பழம் மலச்சிக்கலைத் தீர்க்கும்,Guava helps relieve constipation
பியரி பொள்ளொ,piyari poLLo,பேரிக்காய்,Pear,ஒர்ஸும் தீ3 ம்ஹடொ3 ஒண்டேஸ் பியரி பொள்ளொ அப்3ப3யி,orsum dee mhaDo oNTEs piyari poLLo abbayi,வருடத்தில் இரண்டு மாதங்கள் மட்டுமே பேரிக்காய் கிடைக்கும்,Pears are available only two months of the year
போ4ரு பொள்ளொ,bhOru poLLo,இலந்தைப்பழம்,"Jujube, Red date",போ4ரு பொள்ளொ ஆங்கு3க் ஸில்லொ கெரயி,bhOru poLLo aangguk sillo kerayi,இலந்தைப்பழம் உடலை குளிர்ச்சியாக்கும்,Jujube cools the body
ஜெம்பு3 பொள்ளொ,jembu poLLo,நாவற்பழம்,Blackberry,ஜெம்பு3 பொள்ளொ களொநிளா வனிம் ர்ஹாயி,jembu poLLo kaLoniLaa vanim rhaayi,நாவற்பழம் கருநீல நிறமுடையதாக இருக்கும்,The Blackberry is dark blue in color
லிமுஸு பொள்ளொ,limusu poLLo,கொடுக்காப்புளி,Madras Thorn,லிமுஸு பொள்ளொ க2யெத் தோன் வஸுஞ்சயி,limusu poLLo khayet tOn vasunjcayi,கொடுக்காப்புளி சாப்பிட்டால் வாய் துர்நாற்றம் அடிக்கும்,Mouth stinks if you eat madras thorn
லிம்பு3 பொள்ளோ,limbu poLLO,எலுமிச்சம்பழம்,Lemon,லிம்பு3 பி3ஜ்ஜட் அஸ்கி கொ4ம்மானும் ர்ஹாயி,limbu bijjaT aski ghommaanum rhaayi,எலுமிச்சை ஊறுகாய் எல்லா வீட்டிலும் இருக்கும்,Lemon pickle is available in every home
கொவுட்டு பொள்ளொ,kovuTTu poLLo,விளாம்பழம்,Wood-apple,வினாயிக் கொவுட்டு பொள்ளொ தொ2வி மட3னு,vinaayik kovuTTu poLLo thovi maDanu,விநாயக சதுர்த்தியை விளாம்பழம் வைத்து கொண்டாடுவார்கள்,Vinayaka Chaturthi is celebrated with wood-apple
ஸும்புடு3 பொள்ளொ,sumpuDu poLLo,"மூக்குசளி பழம், நறுவிலி","Assyrian plum, Cordia myxa",ஸும்புடு3 பொள்ளொ நீமு பொள்ளொ ஸொகன் ர்ஹாயி,sumpuDu poLLo neemu poLLo sokan rhaayi,மூக்குசளி பழம் பார்ப்பதற்கு வேப்பம் பழம் போல் இருக்கும்,Assyrian plum looks like neem fruit
கோ2ஜா,khOjaa,தர்பூசணி,Watermelon,கோ2ஜாம் பனி போஷணொ ஜு2க்கு ஸே,khOjaam pani pOshaNo jhukku sE,தர்பூசணியில் நீர்ச்சத்து மிக அதிகம் உள்ளது,Watermelon has a very high water content
உம்ப்3ளொ,umbLo,அத்திப்பழம்,Fig,உம்ப்3ளொ ஆங்கு3க் புஷ்டி கெரஸு,umbLo aangguk pushTi kerasu,அத்திப்பழம் உடலுக்கு ஊட்டமளிக்கிறது,Figs nourish the body
"உம், உம்ப3னொ","um, umbano",அத்தி,Fig,உம்ப3னொ கு3ண்டெ3க் பொ3லம் கெரயி,umbano guNDek bolam kerayi,அத்திப்பழம் இதயத்தை பலப்படுத்தும்,Figs strengthen the heart
பீ4ஸு,bheesu,சிற்றீச்சம்பழம்,Black dates,பீ4ஸு தா3து3 க்ஷயமு ர்ஹீ கப3ட3ஸு,bheesu daadu kshayamu rhee kabaDasu,சிற்றீச்சம்பழம் பல் சிதைவிலிருந்து பாதுகாக்கிறது,Black dates protect teeth against decay
பெச்சம் பொள்ளொ,peccam poLLo,பேரீச்சம்பழம்,"Date fruit, Dates",பெச்சம் பொள்ளாம் ல்ஹொணு போஷணொ ஸே,peccam poLLaam lhoNu pOshaNo sE,பேரிச்சம் பழத்தில் இரும்புச்சத்து அதிகம்,Date fruit is rich in iron
"க2ஸுலா பொள்ளொ, க2ஸ்லொ","khasulaa poLLo, khaslo",பேரீச்சம்பழம்,"Date fruit, Dates",அரபு3 தே3ஶும் க2ஸ்லொ ஜு2க்கு பிக்கஸு,arabu dEssum khaslo jhukku pikkasu,அரபு நாடுகளில் பேரிச்சம்பழம் அதிகம் விளைகிறது,Dates are widely grown in Arab countries
கீ2ஸ்,khees,பேரீச்சம்பழம்,"Date fruit, Dates",கீ2ஸ் க2யிகின் ஓக3த் முஸட3த்தெ ப3ரொ,khees khayikin Ogat musaDatte baro,பேரீச்சம்பழம் சாப்பிட்டு விரதத்தை முடிப்பது நல்லது,It is good to end the fast by eating dates
கீ4ஸ்,ghees,பேரீச்சம்பழம்,"Date fruit, Dates",கீ4ஸுக் மைம் பி3ஜ்ஜடி3 க2வாயி,gheesuk maim bijjaDi khavaayi,பேரீச்சம்பழத்தை தேனில் ஊறவைத்து சாப்பிடலாம்,Dates can be soaked in honey and eaten
க2ஜ்ஜுர்,khajjur,பேரீச்சம்பழம்,"Date fruit, Dates",க2ஜ்ஜுரும் ர்ஹீ ஹல்வா கெருவாயி,khajjurum rhee halvaa keruvaayi,பேரிச்சம் பழத்தில் அல்வா செய்யலாம்,Halva can be made from dates
துங்க,tungka,நுங்கு,"Tender Palmyra fruit, Ice apple",போடு3க் ஸில்லொ கெரத்தெமாம் துங்க ஸிரேஶ்டு,pODuk sillo kerattemaam tungka sirEssTu,வயிற்றுக்கு குளிர்ச்சி தருவதில் நுங்கு சிறந்தது,Tender Palmyra fruit is the best in cooling the stomach
தும்ப2ல்,tumphal,பனம்பழம்,Palmyra fruit,தும்ப2ல் தாக் தாக்கன் ர்ஹாயி,tumphal taak taakkan rhaayi,பனம்பழம் நார் நாராக இருக்கும்,Palmyra fruit is highly fibrous
தாடி3 கெளங்கு,taaDi keLangku,பனங்கிழங்கு,Palmyra tuber,தாடி3 கெளங்குகுக் ஸுவ்ஜிகின் கா2னு,taaDi keLangkukuk suvjikin khaanu,பனங்கிழங்கை வேகவைத்து சாப்பிடுவார்கள்,Palmyra tuber is boiled and eaten
தாடி3 பு3ள்ளொ,taaDi buLLo,பனங்கிழங்கு,Palmyra tuber,தாடி3 பு3ள்ளொ க2யெத் போட்பு2கி3 ஹிம்ஸொ அவயி,taaDi buLLo khayet pOTphugi himso avayi,பனங்கிழங்கு சாப்பிட்டால் வாயுத்தொல்லை ஏற்படும்,Eating palmyra tuber can cause flatulence
