Unnamed: 0,29. Plants and Their Parts,ஜா2ட்3ஜ2ட்கின் கினு பா4கு3ன்,झाड्झट्किन किनु भागुन,ꢚꢵꢞ꣄ꢚꢜ꣄ꢒꢶꢥ꣄ ꢒꢶꢥꢸ ꢩꢵꢔꢸꢥ꣄
ஆணிவேர்  ,tap root,அடு3மூள்,अडुमूळ,ꢂꢞꢸꢪꢹꢳ꣄
பூவிதழ்  ,petal,ரேக்/த3ளொ,"रेक्, दळा॑","ꢬꢿꢒ꣄, ꢣꢳꣁ"
இலை  ,leaf,பான்,पान,ꢦꢵꢥ꣄
இலை நரம்பு   ,leaf venation,பானுநெரம்,पानुनेरम्,ꢦꢵꢥꢸꢥꢾꢬꢪ꣄
கணு  ,node,கெ3ணுக்,ग॑णुक,ꢔꢾꢠꢸꢒ꣄
கத்திரிகாய்,brinjal,வங்கி3,वङ्गि,ꢮꢖ꣄ꢔꢶ
கம்பு  ,stick,லய்டொ3/லகு3டொ3,"लय्डा॑, लगुडा॑","ꢭꢫ꣄ꢞꣁ, ꢭꢔꢸꢞꣁ"
கன்று  ,sapling,ந:ன் ஜ2ட்கி,न्हन झट्कि,ꢥꢴꢥ꣄ ꢚꢜ꣄ꢒꢶ
கனி  ,fruit,"பொள்ளொ, பள்ளொ","पा॑ळ्ळा॑, पळ्ळा॑","ꢦꣁꢳ꣄ꢳꣁ, ꢦꢳ꣄ꢳꣁ"
காம்பு  ,flower stalk,காம்பு3/தாண்,"काम्बु, ताण","ꢒꢵꢪ꣄ꢨꢸ, ꢡꢵꢠ꣄"
காய்  ,unripe fruit,கய்லொ,कय्ला॑,ꢒꢫ꣄ꢭꣁ
காளான்  ,mushroom,கெ3ஜ்ஜனாஜா2ட்,ग॑ज्जनाझाट्,ꢔꢾꢙ꣄ꢙꢥꢵ ꢚꢵꢜ꣄
கிளை/ கொம்பு  ,branch,ஶாகொ3,शागा॑,ꢯꢵꢔꣁ
கீரை  ,"greens, pot herbs",ப4ஜ்ஜி,भज्जि,ꢩꢙ꣄ꢙꢶ
குருத்து  ,tender leaf,கொம்பு3ளொபான்,का॑म्बुळा॑पान्,ꢒꣁꢪ꣄ꢨꢸꢳꣁ ꢦꢵꢥ꣄
குற்றுச்செடி  ,bush,பொஸ்கெ/கு3ள்மொ,"पा॑स्क॑, गुळ्मा॑","ꢦꣁꢱ꣄ꢒꢾ, ꢔꢸꢳ꣄꣄ꢪꣁ"
கொட்டை  ,nut,வித்து/பீ3க்,"वित्तु, बीक","ꢮꢶꢡ꣄ꢡꢸ, ꢨꢷꢒ꣄"
கொடி  ,creeper,ஜ2ள்ளொ/வேல் (சுற்றிபடர்),"झळ्ळा॑, वेल् (चुऱ्ऱइपटर्)","ꢚꢳ꣄ꢳꣁ, ꢮꢿꢭ꣄ (ꢗꢸꢬ꣄ꢬꢶꢦꢜꢬ꣄)"
கிளை,Branch,கொம்மொ,का॑म्मा॑,ꢒꣁꢪ꣄ꢪꣁ
சர்க்கரைவள்ளி  ,sweet potato,ஸெக்கர்கௌங்கு3,स॑क्कर क॑ळङ्गु,ꢱꢾꢒ꣄ꢒꢬ꣄ ꢒꢾꢳꢖ꣄ꢔꢸ
சணல்  ,jute,கோ3ண்/கோ3ன்,"गोण, गोन","ꢔꣂꢠ꣄꣄, ꢔꣂꢥ꣄"
சல்லிவேர்  ,fibrous root,தாதுமூள்,तातुमूळ्,ꢡꢵꢡꢸꢪꢹꢳ꣄
சுள்ளி  ,twig,செத்தொ,च॑त्ता॑,ꢗꢾꢡ꣄ꢡꣁ
செடி,plant,ஜ2ட்கி,झट्कि,ꢚꢜ꣄ꢒꢶ
வாழைத்தண்டு,plantain stem,பொ3ந்தே3,बा॑न्दे,ꢨꣁꢥ꣄ꢣꢿ
தண்டு  ,"stalk, stem",க2ட்டி,खट्टि,ꢓꢜ꣄ꢜꢶ
தளிர்  ,tender leaf,முகுலு பான் /சிகுர்/அங்குர்,"मुकुलु पान, चिकुर, अङ्कुर","ꢪꢸꢒꢸꢭꢸ ꢦꢵꢥ꣄, ꢗꢶꢒꢸꢬ꣄, ꢂꢖ꣄ꢒꢸꢬ꣄"
துளசி  ,basil plant,தொ2ள்சி,था॑ळ्चि,ꢢꣁꢳ꣄꣄ꢗꢶ
தேயிலை  ,tea leaf,சாய்பான்/டீ பான்,"चाय्पान, टी पान","ꢗꢵꢫ꣄ꢦꢵꢥ꣄, ꢜꢷ ꢦꢵꢥ꣄"
தேன்  ,honey,மய்/மது4/தேனெ,"मय, मधु, तेन॑","ꢪꢫ꣄, ꢪꢤꢸ, ꢡꢾꢥꢾ"
நாய்க்குடை  ,mushroom,கெ3ஜ்ஜனா ஜா2ட் / ஸதிஜாட்3,"ग॑ज्जना झाट, सतिजाड","ꢣꢾꢙ꣄ꢙꢥꢵꢚꢵꢜ꣄, ꢱꢡꢶꢙꢵꢞ꣄"
நாற்று  ,(paddy) seedling,நாத்/பீஜாங்குர்,"नात्, पीजाङ्कुर","ꢥꢵꢡ꣄, ꢦꢷꢙꢵꢖ꣄ꢒꢸꢬ꣄"
புகையிலை,stalk (tobacco),தூ4ம்பான்,धूम्पान्,ꢤꢹꢪ꣄ꢦꢵꢥ꣄
நெற்பயிர்  ,paddy plant,ஸாளு பெயிர்/ஸாளு உபஜாவ்/பெயிர் பண்டொ,"साळु प॑यिर, साळु उपजाव, प॑यिर पण्टा॑","ꢱꢵꢳꢸ ꢦꢾꢫꢶꢬ꣄, ꢱꢵꢳꢸ ꢆꢦꢙꢵꢮ꣄, ꢦꢾꢫꢶꢬ꣄ ꢦꢠ꣄ꢜꣁ"
பயிர்  ,crop,உபஜாவ்,उपजाव,ꢆꢦꢙꢵꢮ꣄
பாசி  ,moss,பா3ஞ்ஜி,बाञ्जि,ꢨꢵꢛ꣄ꢙꢶ
பிஞ்சு  ,tender fruit,பிந்தொ3,पिन्दा॑,ꢦꢶꢥ꣄ꢣꣁ
பிரம்பு  ,cane,பெ3த்தம்/வள்டி,"ब॑त्तम्, वळ्टि",ꢨꢾꢡ꣄ꢡꢪ꣄ ꢮꢳ꣄ꢜꢶ
புதர்  ,bush,பொத3ர்,पा॑दर्,ꢦꣁꢣꢬ꣄
புல்  ,grass,பொஸ்கெ,पा॑स्क॑,ꢦꣁꢱ꣄ꢒꢾ
அருகம்புல்,scutch grass,ஹரளி,हरळि,ꢲꢬꢳꢶ
பூ  ,flower,பூ2ல்,फूल्,ꢧꢸꢭ꣄
பூச்செடி  ,flower plant,பூ2லுஜ2ட்கி,फूलु झट्कि,ꢧꢸꢭꢶ ꢚꢜ꣄ꢒꢶ
மரச்சீனி/ மரவள்ளி  ,tapioca,ஆள்வளி கௌங்கு3,आळ्वळि क॑ळङ्गु,ꢃꢳ꣄ꢮꢥꢶ ꢒꢾꢳꢖ꣄ꢔꢸ
முள் ,thorn,க2டொ,खटा॑,ꢓꢜꣁ
முளை  ,sprout,மொல்கொ/ அங்க்ரொ,"मा॑ल्का॑, अङ्क्रा॑","ꢪꣁꢭ꣄ꢒꣁ, ꢂꢖ꣄ꢒ꣄ꢬꣁ"
மூங்கில்  ,bamboo,பொ3ங்கு3,बा॑ङगु,ꢨꣁꢖ꣄ꢔꢸ
மொட்டு  ,bud,முகுல்,मुकुल्,ꢪꢸꢔꢸꢭ꣄
அடிவாழை,plantain root,மூளுகேள்,मूळुकेळ्,ꢪꢹꢳꢸꢒꢾꢳ꣄
வாழை  மரம்,plantain,கேளு ஜா2ட்3,केळु झाड,ꢒꢿꢳꢸ ꢚꢵꢞ꣄
வித்து,seed,வித்து,वित्तु,ꢮꢶꢡ꣄ꢡꢸ
விதை,seed,பீ3க்,बीक्,ꢨꢷꢒ꣄
வேர்,root,மூல்,मूल,ꢪꢹꢭ꣄
 ,,,,
