ꢗꢸꢳ꣄ꢳꣁ,चुळ्ळा॑,சுல்லொ,stove (oven),அடுப்பு  
ꢡꢜꣁ,तटो,தடொ,peg,ஆப்பு  
ꢄꢜ꣄ꢒꢶ,इट्कि,இட்கி,forceps,இடுக்கி  
ꢮꢶꢜ꣄ꢒꢶ,विट्कि,விட்கி,forceps,இடுக்கி  
ꢭꢴꣁꢔꢠꢸꢦꢾꢜꢶ,ल्हा॑गणुप॑टि,லொ:க3ணுபெடி,iron self,இரும்புப் பெட்டி   
ꢱꢸꢬꢸꢔ꣄,सुरुग,ஸுருக்3,drawer of a table,இழுப்பறை  
ꢔꢾꢱꢶꢥ ꢶꢦꢾꢜꢶ,ग॑सिनि प॑टि,கெ3ஸினிபெடி,iron box,இஸ்திரிப்பெட்டி  
ꢱꢜꣁ,सटा॑,ஸடொ,ladder,ஏணி  
ꢱ꣄ꢬꢿꢠꢶ,स्रेणि,ஸ்ரேணி,ladder,ஏணி  
ꢗꢶꢡ꣄ꢬꢸ,चित्रु,சித்ரு,painting,ஓவியம்  
ꢗꢶꢡ꣄ꢡꢸꢬ꣄,चित्तुर,சித்துர்,painting,ஓவியம்  
ꢪꢛ꣄ꢗꢸ,मञ्चु,மஞ்சு,cot,கட்டில்  
ꢪꣁꢛ꣄ꢗꣁ,मा॑ञ्चा॑,மொஞ்சொ,cot,கட்டில்  
ꢕꢾꢜꢶꢔꢳꣁ,घ॑टिगळा॑,கெ4டி3க3ளொ,wrist watch,கடிகாரம்  
ꢣꢮ꣄ꢠꣁ,दव्णा॑,த3வ்ணொ,mirror,கண்ணாடி  
ꢂꢣ꣄ꢣꢪ꣄,अद्दम,அத்3த3ம்,mirror,கண்ணாடி  
ꢘꢸꢬꢶ,छुरि,சு2ரி,knife,கத்தி  
ꢒꢾꢡ꣄ꢡꢶꢬꢶꢒꢾ,क॑त्तिरिक॑,கெத்திரிகெ,scissors,கத்திரி  / கத்திரிக்கோல்
ꢒꢪ꣄ꢨ꣄ꢭꣁ,कम्ब्ळा॑,கம்ப்3ளொ,wollen blanket,கம்பளிப் போர்வை   
ꢧꢖ꣄ꢔꢸꢬꣁ,फङ्गुरा॑,ப2ங்கு3ரொ,wollen blanket,கம்பளிப் போர்வை   
ꢇꢬ꣄ꢠꢸꢧꢖ꣄ꢔꢸꢬꣁ,ऊरणु फङ्गुरा॑,ஊர்ணு ப2ங்கு3ரொ,wollen blanket,கம்பளிப் போர்வை   
ꢓꢜ꣄ꢜꢶ,खट्टि,க2ட்டி,stick,கம்பு  
ꢦꢵꢄ~ ꢦꣁꢱꢸꢥꢵꢮ꣄,पाइ~ पा॑सुनाव,பாஇ~பொஸுனாவ்,doormat,கால்மிதி  
ꢦꣃꢱꢸꢭ꣄,पौसुल्,பௌஸுல்,footwear,காலணி  
ꢔꢸꢖ꣄ꢔꢸꢪꢸ ꢩꣁꢬꢠꢶ,गुङ्गुमु भा॑रणि,குங்கு3மு பொ4ரணி,kumkum box,குங்குமச் சிமிழ்   
ꢱꢣꢶ,सदि,ஸதி3,umbrella,குடை  
ꢘꢡ꣄ꢬꢶ,छत्रि,ச2 த்ரி,umbrella,குடை  
ꢔꢾꢭ꣄ꢭꣁ,ग॑ल्ला॑,கெ3ல்லொ,vessel for storing grains,குதிர்  
ꢔꢸꢡ꣄ꢡꢶ,गुत्ति,கு3த்தி,bottle,குப்பி  
ꢔꢸꢦ꣄ꢦꣁ,कुप्पा॑,குப்பொ,trash,குப்பை  
ꢲꢷꢞꢸꢮꢱ꣄ꢡꢸꢥ꣄,हीडुवस्तुन,ஹீடு3வஸ்துன்,trash,குப்பை  
ꢔꢾꢭ꣄ꢭꣁ,ग॑ल्ला॑,கெல்லொ,Earthen vessel for storing grains,குலுக்கை
ꢒꣂꢮꢶ,कोवि,கோவி,pipe,குழல்  
ꢧꢸꢥ꣄ꢥꢳꢶ,फुन्नळि,பு2ன்னளி,pipe,குழல்  
ꢒꣁꢳꢵꢫ꣄,का॑ळाय,கொளாய்,tap,குழாய்  
ꢥꢳꢶ,नळि,நளி,tap,குழாய்  
ꢲꢵꢡꢸ ꢓꣁꢳ꣄ꢜꢶ,हातु खा॑ळ्टि,ஹாதுகொ2ள்டி,handbag,கைப்பை  
ꢦꢶꢱꢸꢳꢵ ꢏꢭꣁ,पिचुळा आ॑लो,பிஸுளா ஒலொ,mosquito net,கொசுவலை  
ꢱꢶꢬ꣄ꢒꢠ꣄,सिर्कण,ஸிர்கண்,sandal (wood),சந்தனம்  
ꢯ꣄꣄ꢬꢷꢔꢥ꣄ꢤꢸ,श्रीगन्धु,ஸ்ரீக3ந்து4,sandal (wood),சந்தனம்  
ꢙꢾꢖ꣄ꢔꢳꢪ꣄,ज॑ङ्गळम,ஜெங்க3ளம்,carpet,சமுக்காளம்  
ꢬꢵꢒ꣄,राक्,ராக்,ash,சாம்பல்  
ꢮꢱ꣄ꢡꢸꢥ꣄꣄,वस्तुन,வஸ்துன்,things,சாமான்கள்/பொருட்கள்
ꢙꢪꢵꢥꢸꢥ꣄,जमानुन,ஜமானுன்,things,சாமான்கள்/பொருட்கள்
ꢨꢶꢔꢵꢡ꣄,बिगात,பி3கா3த்,key,சாவி  
ꢧꣁꢥ꣄ꢥꢶ,फोन्नि,பொ2ன்னி,comb,சீப்பு  
ꢩꢷꢡꢸ ꢕꢾꢞꢶꢔꢳꣁ,भीतु घेडिगळा॑,பீ4துகெ4டி3க3ளொ,wall clock,சுவர்க் கடிகாரம்    
ꢨꣁꢖ꣄ꢔꢸ ꢡꢜ꣄ꢜꢶ,बा॑ङ्गु तट्टि,பொ3ங்கு3 தட்டி,bamboo screen,தட்டி  
ꢭꣀꢞꣁ,लैडा॑,லைடொ3,stick,தடி  
ꢭꢔꢸꢞꣁ,लगुडा॑,லகு3டொ3,stick,தடி  
ꢨꢠꢵꢭ꣄ ꢭꢔꢸꢞꣁ,बणाल्लगुडा॑,ப3ணால் லகு3டொ3,big stick,தடிக்கம்பு  
ꢲꢡ꣄ꢬꢥ꣄,हत्रन,ஹத்ரன்,carpet,தரைவிரிப்பு  
ꢡꢾꢭ꣄ꢒꢜ꣄,तेल्कट,தெல்கட்,pillow,தலையணை  
ꢲꢸꢪ꣄ꢬꣁ,हुम्रा॑,ஹும்ரொ,pillow,தலையணை  
ꢣꢶꢠ꣄ꢞꢸ,दिण्डु,தி3ண்டு3,pillow,தலையணை  
ꢪꣁꢭ꣄ꢜꢶ,मा॑ल्टि,மொள்டி,pillow,தலையணை  
ꢮꢵꢡ꣄,वात,வாத்,wick,திரி  
ꢣꢶꢮꣁ,दिवा॑,தி3வொ,lamp,தீபம்  
ꢭꣁꢪ꣄ꢨꢥ꣄ ꢣꢶꢮꣁ,ला॑म्बन्दिवा॑,லொம்ப3ன் தி3வொ,hanging lamp,தொங்குவிளக்கு  
ꢦꢭ꣄ꢭꣁ,पल्ला॑,பல்லொ,cradle,தூளி/ தொட்டில்  
ꢦꢳ꣄ꢳꣁ,पळ्ळा॑,பள்ளொ,cradle,தூளி/ தொட்டில்  
ꢒꢾꢱꢶꢥꢶ ꢦꢾꢜꢶ,केसिनि प॑टि,கெசினி பெடி,Iron box,தேய்ப்புப் பெட்டி
ꢥꢶꢮꢶ,निवि,நிவி,tank,தொட்டி  
ꢡꣁꢜ꣄ꢜꢶ,तोट्टि,தொட்டி,tank,தொட்டி  
ꢬꢹꢦꢣꢬ꣄ꢯꢶꢥꢶ,रूप दर्शिनि,ரூப த3ர்ஷினி,television,தொலைக்காட்சிப் பெட்டி   
ꢣꢹꢬ꣄ ꢮꢣꢶꢥꢶ,दूर्वदिनि,தூ3ர் வதி3னி,telephone,தொலைபேசி  
ꢒꢾꢰꢠ꣄ ꢓꣁꢳ꣄꣄ꢜꢶ,क॑षण खा॑ळ्टि,கெஷண் கொ2ள்டி,leather bag,தோல் பை   
ꢓꢵꢥꢣꢸ ꢓꣁꢳ꣄꣄꣄ꢜꢶ, खा॑ळ्टि,கா2ந்து3கொ2ள்டி,shoulder bag,தோள் பை   
ꢣꢶꢥ꣄ꢥꢸ ꢣꢾꢒ꣄ꢒꢜ꣄ꢥꢶ,दिन्नु द॑क्कट्नि,தி3ன்னுதெ3க்கட்னி,calender,நாள்காட்டி  
ꢣꢶꢥꢗꢬ꣄ꢫꣁ,दिनचर्या॑,தி3னசர்யொ,calender,நாள்காட்டி  
ꢗꢵꢬ꣄ꢦꢵꢄ~ ꢡꢶꢮꢶ,चार्पाइ~ तिवि,சார்பாஇ~திவி,chair,நாற்காலி  
ꢒꢸꢬ꣄ꢱꢶ,कुर्सि,குர்ஸி,chair,நாற்காலி  
ꢒꣂꢥ꣄ꢡꢸ,कोन्तु,கோ3ந்து,gum,பசை  
ꢣꢶꢞ꣄ꢞꢸ,दिड्डु,தி3ட்3டு3,gum,பசை  
ꢮꢭ꣄ꢭꢶꢬ꣄,वज्जिर,வஜ்ஜிர்,gum,பசை  
ꢗꢶꢡ꣄ꢡꢸꢬ꣄,चित्तुर,சித்துர்,picture,படம்  
ꢭꣂꢱ꣄,लोस,லோஸ்,picture,படம்  
ꢱꢫꢥꢶ,सयनि,ஸயனி,bed,படுக்கை  
ꢱꢫꢥꢸ ꢲꢡ꣄ꢬꢥ꣄,सयनु हत्रन,ஸயனு ஹத்ரன்,bed sheet,படுக்கை விரிப்பு   
ꢒꢸꢡꢸꢬ꣄,कुतुर्,குதுர்,Wooden vessel for storing grains,பத்தாயம்
ꢣꢵꢡꢸ ꢨꢸꢬꢸꢱ꣄,दातुबुरुस,தா3து பு3ருஸ்,tooth brush,பல்விளக்கி  
ꢣꢵꢡꢸ ꢪꢛ꣄ꢙꢥ꣄,दातुमञ्जन,தா3து மஞ்ஜன்,tooth brush,பல்விளக்கி  
ꢞꢵꢡꢸ ꢔꢾꢱꢶꢥꢶ,दातु ग॑सिनि,தா3து கெ3ஸினி,tooth brush,பல்விளக்கி  
ꢣꢵꢡꢸꢭꢿꢲꢶ,दातुलेहि,தா3து லேஹி,tooth paste,பற்பசை  
ꢣꢵꢡꢸ ꢩꢸꢬ꣄ꢒꣁ,दातु भुर्का॑,தா3து பு4ர்கொ,tooth powder,பற்பொடி  
ꢌꢣꢸꢥꢪ꣄,ए॑दुनम,எது3னம்,vessels,பாத்திரம்  
ꢦꢵꢡ꣄ꢬꣁ,पात्रा॑,பாத்ரொ,vessels,பாத்திரம்  
ꢗꢦꣂ,चपा॑,சபொ,mat,பாய்
ꢔꢾꢜ꣄ꢦꢵꢬꣁ,ग॑ट्पारा॑,கெ3ட்பாரொ,crow bar,கடப்பாறை
ꢓꢥꢵꢮ꣄,खनाव,க2னாவ்,crow bar,கடப்பாறை
ꢤꢹꢪ꣄ ꢭꣂꢱ꣄,धूम्लोस,தூ4ம் லோஸ்,photo,புகைப்படம்  
ꢥꢷꢞꢵ ꢭꣂꢱ꣄,नीडा लोस,நீடா3லோஸ்,photo,புகைப்படம்  
ꢩꢵꢮ ꢗꢶꢡ꣄ꢡꢸꢬ꣄,भावचित्तुर,பா4வசித்துர்,photo,புகைப்படம்  
ꢥꢵꢳꣁ,नाळा॑,நாளொ,funnel,புனல்  
ꢧꢹꢭꢸ ꢥꢶꢮꢶ,फूलु निवि,பூ2லு நிவி,flower pot,பூச்சட்டி  / பூத்தொட்டி  
ꢦꢾꢜꢶ,प॑टि,பெடி,box,பெட்டி  
ꢦꢶꢳ꣄ꢜꢶ,पिळ्टि,பிள்டி,toy,பொம்மை  
ꢧꢖ꣄ꢔꢸꢬꣁ,फङ्गुरा॑,ப2ங்கு3ரொ,blanket,போர்வை  
ꢧꢖ꣄ꢔꢸꢬꢶ,फङ्गुरि,ப2ங்கு3ரி,blanket,போர்வை  
ꢕꢾꢜꢶ,घ॑टि,கெ4டி3,time,மணி  
ꢦꢵꢫ꣄ꢥ꣄ ꢦꣁꢱꢶꢭ꣄ꢥꢶ,पाय्न प॑सिल्नि,பாய்ன் பொஸில்னி,mat,மிதியடி
ꢮꢶꢣ꣄ꢫꢸꢡ꣄ꢮꢶꢙꢥꣁ,विद्युत्विजनो,வித்3யுத்விஜனொ,electric fan,மின்விசிறி  
ꢮꢶꢣ꣄ꢫꢸꢮꢶꢡ꣄ ꢣꢶꢮꣁ,विद्युत्दिवा॑,வித்3யுத் தி3வொ,electric lamp,மின் விளக்கு  
ꢢꢷꢥ꣄ꢦꢵꢄ~  ꢡꢶꢮꢶ,थीन्पाइ~  तिवि,தீ2ன்பாஇ~திவி,three legged stool,முக்காலி  
ꢪꢾꢣꢸꢳꣁ,मेदुळा॑,மெது3ளொ,mattress,மெத்தை  
ꢪꢾꢫꢶꢥꢸ ꢮꢵꢡ꣄,म॑यिनु वात,மெயினுவாத்,candle,மெழுகுவர்த்தி  
ꢪꣂꢪ꣄ ꢮꢵꢡ꣄,मोम्वात,மோம் வாத்,candle,மெழுகுவர்த்தி  
ꢪꢿꢙꣁ,मेजा॑,மேஜொ,table,மேசை  
ꢮꢵꢬ꣄,वार्,வார்,Broom stick,"வாரியல், விளக்கமாறு"
ꢚꢠ꣄ꢠꢶ,झण्णि,ஜ2ண்ணி,Broom stick,"வாரியல், விளக்கமாறு"
ꢒꢸꢞꣁ,कुडा॑,குடொ3,bucket,வாளி  
ꢔꢮ꣄ꢥꢶ ꢦꢾꢜꢶ ꢂꢒꢵꢱ꣄ ꢤꣁꢥꢶ ꢦꢾꢜꢶ,गव्नि प॑टि,க3வ்னி பெடி,radio,வானொலிப் பெட்டி  
ꢔꢮ꣄ꢥꢶ ꢦꢾꢜꢶ ꢂꢒꢵꢱ꣄ ꢤꣁꢥꢶ ꢦꢾꢜꢶ,अकास धा॑नि प॑टि,அகாஸ் தொ4னி பெடி,radio,வானொலிப் பெட்டி  
ꢮꢶꢙꢥꣁ,विजना॑,விஜனொ,fan,விசிறி
ꢡꢶꢮꣁ,तिवा॑,தி3வொ,lamp,விளக்கு  
ꢚꢠ꣄ꢠꢶ,झण्णि,ஜ2ண்ணி,broomstick,விளக்குமாறு  
