ꢪꢛ꣄ꢗꢸ,मञ्चु,மஞ்சு,stage,அரங்கம்  / அரங்கு
ꢧꣀꢭ ꢦ꣄ꢬꢣꢬ꣄ꢰꢥꣁ,फैल प्रदर्षना॑,பை2ல ப்ரத3ர்ஷனொ,debut / maiden performance,அரங்கேற்றம்  
ꢲꢬꢶꢓꢾꢡꣁ,हरिख॑ता॑,ஹரிகெ2தொ,religious discourse with narration,அரிகதை  
ꢦꢸꢬꢵꢡꢥꢮꢱ꣄ꢡꢸ ꢦ꣄ꢬꢣꢬ꣄ꢰꢶꢥꢶ,पुरातन वस्तु प्रदर्षिनि,புராதன வஸ்து ப்ரத3ர்ஷினி,museum,அரும்பொருட்காட்சியகம்   
ꢥꢵꢗꢸ,नाचु,நாசு,dance,ஆட்டம்  
ꢥꢜꢥꢪ꣄,नटनम,நடனம்,dance,ஆட்டம்  
ꢱꢖ꣄ꢔꢷꢡ꣄,सङगीत्,ஸங்கீ3த்,music,இசை  
ꢱꢖ꣄ꢔꢷꢡꢸ ꢮꣀꢩꢮ꣄,सङगीतु वैभव,ஸங்கீ3துவைப4வ்,musical concert,இசைநிகழ்ச்சி  
ꢱꢶꢖ꣄ꢒꢵꢬ꣄ꢭꢶꢥꢶ,सिङकार्लिनि,ஸிங்க3ர்லினி,make up,ஒப்பனை  
ꢍꢒꢵꢖ꣄ꢒꢶ ꢥꢜ꣄ꢒꢪ꣄,एकाङ्कि नट्कम,ஏகாங்கி நட்கம்,one act play,ஓரங்கநாடகம்   
ꢱꢨ꣄ꢣꢸ ꢦ꣄ꢬꢒꢵꢱꢸ ꢣꢬ꣄ꢰꢥꣁ,सब्दुप्रकाषु दर्षना॑,ஸப்3து3 ப்ரகாஷு த3ர்ஷனொ,music and light programme,ஒலி ஒளிக்காட்சி   
ꢤꣁꢥꢶ ꢦꢛ꣄ꢙꢷꢒꢬꢠꣁ,धोनि पञ्जीकरणा॑,தொ4னி பஞ்ஜீகரணொ,sound recording,ஒலிப்பதிவு  
ꢱꢨ꣄ꢣꢸꢔꢸꢠ꣄ꢮꢶ,सब्दु गुण्वि,ஸப்3து3கு3ண்வி,loudspeaker,ஒலிப்பெருக்கி  
ꢗꢶꢡ꣄ꢬꢸ,चित्रु,சித்ரு,painting,ஓவியம்  
ꢱꢖ꣄ꢔꢷꢡ ꢮꣀꢩꢮ꣄,सङ्गीत वैभव,ஸங்கீ3த வைப4வ்,concert,கச்சேரி  
ꢒꢷꢡꢸꢱ꣄ꢬꢸꢡꢶ,गीतुस्रुति,கீ3துஸ்ருதி,pitch,கட்டை  
ꢔꢮ꣄ꢥꢶꢱ꣄ꢢꢵꢥ꣄,गव्निस थान,க3வ்னி ஸ்தா2ன்,pitch,கட்டை  
ꢱ꣄ꢡꢵꢥꢦ꣄ꢬꢫꢡ꣄ꢥꣁ,स्तानप्रयत्ना॑,ஸ்தானப்ரயத்னொ,pitch,கட்டை  
ꢪꣂꢜꢶ ꢮꢶꢡ꣄ꢡꢾ,मोटिवित्त॑,மோடி3வித்தெ,magic,கண்கட்டு வித்தை   
ꢒꢭꢵ,कला,கலொ,art,கலை  
ꢒꢭꢵꢒꢵꢬ꣄,कलाकार्,கலாகார்,artiste,கலைஞன்  
ꢒꢵꢒ꣄ꢰꢶ,काक्षि,காக்ஷி,scene,காட்சி  
ꢔ꣄ꢬꢵꢪꢶꢫ ꢥꢵꢗꢸ,ग्रामिय नाचु,க்3ராமிய நாசு,a folk dance,கிராமிய நடனம்   
ꢙꢾꢡꣁꢪꢶꢳꢶ ꢓꢳꢥ꣄ꢥꢵꢗꢸ,जेतोमिळि खळन्नाचु,ஜெதொமிளி க2ளந்நாசு,a group dance,கும்மி  
ꢪꢭ꣄ꢭꢫꢸꢣ꣄ꢣꢸ,मल्लयुद्दु,மல்லயுத்3து3,wrestling,குஸ்தி  
ꢥꢵꢗꢸ,नाचु,நாசு,a folk dance,கூத்து  
ꢥꢵꢗꢸ ꢓꣁꢜ꣄ꢜꣁ,नाचुखा॑ट्टा॑,நாசுகொ2ட்டொ,theatre,கொட்டகை  
ꢗꢶꢡ꣄ꢬ ꢮꢷꢠꢾ,चित्रवीणा॑,சித்ரவீணொ,a musical instrument,கோட்டுவாத்தியம்  
ꢮꢶꢤꢹꢰꢒ꣄,विधूषक्,விதூ4ஷக்,clown,கோமாளி  
ꢒꣁꢭꢸ ꢓꢵꢭ꣄,कोलु खाल्,கோலுகா2ள்,a native dance with sticks,கோலாட்டம்  
ꢱꢖ꣄ꢔꢷꢡ꣄,सङ्गीत्,ஸங்கீ3த்,music,சங்கீதம்  
ꢱꢸꢕꢞꢶ,सुघडि,ஸுக4டி3,"sound quality, tone",சாரீரம்  
ꢕꢞꢶ ꢆꢜꢵꢮ꣄,घडि उटाव,க4டி3 உடாவ்,"sound quality, tone",சாரீரம்  
ꢗꢶꢡ꣄ꢬꢸ,चित्रु,சித்ரு,,
ꢗꢾꢠ꣄ꢜꢾ,च॑ण्ट॑,செண்டெ,a drum,செண்டை  
ꢡꢫꢵꢬ꣄ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,तयार क॑र्नार,தயார் கெர்னார்,producer,தயாரிப்பாளர்  
ꢡꢫꢵꢬ꣄ꢒꢾꢬ꣄ꢥꢶ,तयार्क॑र्नि,தயார்கெர்னி,production,தயாரிப்பு  
ꢱ꣄ꢮꢩꢵꢰꢥ꣄ ꢍꢒꢵꢥ꣄ꢡꢸ ꢮꢗꢸ,स्वभाषण्,ஸ்வபா4ஷண்,"monologue, soliloquy",தனிமொழி  
ꢱ꣄ꢮꢩꢵꢰꢥ꣄ ꢍꢒꢵꢥ꣄ꢡꢸ ꢮꢗꢸ,एकान्तु वाचु,ஏகாந்து வாசு,"monologue, soliloquy",தனிமொழி  
ꢡꢵꢳꢸ,ताळु,தாளு,rhythm,தாளம்  
ꢦꢞꢸꢣꣁ,पडुदा॑,படு3தொ3,screen,திரை  
ꢡꢶꢬꢱ꣄ꢒꢾꢬ꣄ꢥꢵꢮ꣄,तिरस्क॑र्नाव,திரஸ்கெர்னாவ்,screen,திரை  
ꢡꢾꢬꢵ ꢭꣁꢱ꣄,त॑रा लोस,தெரா லோஸ்,cinema,திரைப்படம்  
ꢥꢵꢗꢸ ꢓꣁꢜ꣄ꢜꣁ,नाचु खा॑ट्टा॑,நாசு கொ2ட்டொ,cinema theatre,திரையரங்கம்/ திரையரங்கு  
ꢲꢵꢱ꣄ꢫꢪ꣄,हास्यम,ஹாஸ்யம்,humour,நகைச்சுவை  
ꢥꢜ꣄ꢭꣁ,नाचु,நாசு,dance,நடனம்  
ꢥꢜ꣄ꢮꣁ,नट्वा॑,நட்வொ,actor,நடிகன்  
ꢥꢜꣁ,नटा॑,நடொ,actor,நடிகன்  
ꢥꢜ꣄ꢮꢶ,नट्वि,நட்வி,actress,நடிகை  
ꢥꢜꢶ,नटि,நடி,actress,நடிகை  
ꢥꢗꢶꢥꢶ,नचिनि,நசினி,acting,நடிப்பு  
ꢓꢳ꣄꣄ꢥꢶ ꢥꢵꢗꢸ,खळ्नि नाचु,க2ள்னி நாசு,dance drama,நாட்டியநாடகம்   
ꢥꢗꢥ ꣄ꢥꢵꢗꢸ,नचन्नाचु,நசன்நாசு,dance,நாட்டியம்  
ꢥꢜꢥ ꢥꢵꢗꢸ,नटन नाचु,நடன நாசு,dance,நாட்டியம்  
ꢥꢵꢗꢸ,नाचु,நாசு,drama,நாடகம்  
ꢥꢵꢣꢸ,नादु,நாது3,harmony,நாதம்  
ꢥꢱꢸꢬꢵꢭ꣄,नसुराल्,நஸுரால்,a pipe musical instrument,நாதஸ்வரம் / நாயனம்
ꢥꢷꢞꢵ ꢭꣂꢱ꣄,नीडा लोस,நீடா3லோஸ்,photograph,நிழற்படம்  
ꢭꢭꢶꢡ ꢒꢭꣁ,ललित कला॑,லலிதகலொ,fine arts,நுண்கலை  
ꢮꢶꢮꢵꢣꢸ  ꢱꢣꢱ꣄,विवादु सदस्,விவாது3ஸத3ஸ்,debate,பட்டிமன்றம்  
ꢩꢬꢡ ꢥꢵꢜ꣄ꢫꣁ,भरत नाट्या॑,ப4ரதநாட்யொ,bharatnatyam,பரத நாட்டியம்   
ꢪꢸꢭ꣄ꢭꢮꢶ,मुल्लवि,முல்லவி,the first stanza of a musical composition,பல்லவி  
ꢩꢮ꣄ꢣꢸꢭ꣄,भव्दुल्,ப4வ்து3ல்,musician,பாகவதர்  
ꢔꢷꢜ꣄,गीत्,கீ3த்,song,பாட்டு  
ꢔꢮ꣄ꢥ ꢶꢮꣀꢩꢮ꣄,गव्नि वैभव,க3வ்னி வைப4வ்,vocal concert,பாட்டுக் கச்சேரி   
ꢔꢷꢡꢸ ꢮꣀꢩꢮ꣄,गीतु वैफैव्,கீ3து வைப4வ்,vocal concert,பாட்டுக் கச்சேரி   
ꢔꢮ꣄ꢥꢵꢬ꣄,गव्नार्,க3வ்னார்,singer (male),பாடகன்  
ꢔꢮ꣄ꢥꢵꢬ꣄,गव्नार्,க3வ்னார்,singer (female),பாடகி  
ꢔꢷꢡꢶ,गीति,கீ3த்,song,பாடல்  
ꢱꢥꢵꢬ꣄,सनार्,ஸனார்,spectator,பார்வையாளர்  
ꢮꢫꢭꢶꢥ꣄,वयलिन्,வயலின்,fiddle,பிடில்  
ꢥꢷꢞꢵ ꢭꣂꢱ,नीडा लोस,நீடா3லோஸ்,photograph,புகைப்படம்  
ꢮꢿꢠꢸ,वेणु,வேணு,flute,புல்லாங்குழல்  
ꢮꢱ꣄ꢡꢸ ꢦ꣄ꢬꢡꢬ꣄ꢰꢶꢠꢷ,वस्तु प्रतर्षिणि,வஸ்துப்ரதர்ஷிணி,exhibition,பொருட்காட்சி  
ꢒꢵꢭꢒ꣄ꢰꢿꢦꢸ,कालक्षेपु,காலக்ஷேபு,pastime,பொழுதுபோக்கு  
ꢣꢶꢥ꣄ꢥꢸ ꢔꢪ꣄ꢞꢶꢥꢶ,दिन्नु गम्डिनि,தி3ன்னு க3ம்டி3னி,pastime,பொழுதுபோக்கு  
ꢣꣂꢠ꣄ꢞꣁ,धोण्डा॑,தொ4ண்டொ3,a musical-rhythm instrument,மத்தளம்  
ꢪꢭ꣄ꢫꢸꢣ꣄ꢣꢸ,मल्युद्दु,மல்யுத்3து3,,
ꢪꢾꢣ꣄ꢣꢳ꣄,मेद्दळ,மெத்3த3ள்,a musical instrument (a drum),மிருதங்கம்  
ꢥꢔꢬꣁ,नगरा॑,நக3ரொ,drum,முரசு  
ꢭꢕꢸ ꢱꢖ꣄ꢔꢷꢡ꣄,लघु सङ्गीत,லகு4ஸங்கீ3த்,light music,மெல்லிசை  
ꢪꢛ꣄ꢗ꣄,मञ्च्,மஞ்சு,stage,மேடை  
ꢗꢾꢥ꣄ꢣꢸꢬ꣄ ꢬꢴꢾꢜꣁ,चेन्दुर् र्ह॑टा॑,செந்து3ர் ரெ:டொ3,giant wheel,ரங்கராட்டினம்  
ꢬꢱꢶꢒꣁ,रसिका॑,ரஸிகொ,fan (male),ரசிகன்  
ꢬꢱꢶꢒꣁ,रसिका॑,ரஸிகொ,fan (female),ரசிகை  
ꢬꢵꢔ꣄,राग,ராக்3,tune,ராகம்  
ꢮꢗꢥ꣄,वचन्,வசன்,dialogue,வசனம்  
ꢨꢠꢵꢭꢸ ꢮꢾꢞꢶꢒ꣄,बणालु व॑डिक,ப3ணாலு வெடி3க்,pyrotechnics/fire display,வாணவேடிக்கை  
ꢮꢮ꣄ꢙꢶꢥꢶ ꢮꢵꢣ꣄ꢫꣁ,वव्जिनि वाद्या॑,வவ்ஜினி வாத்3யொ,instrumental music,வாத்திய இசை   
ꢂꢒꢵꢱꢸ ꢤ꣄꣄ꢮꢥꢶ,अकासु ध्वनि,அகாஸு த்4வநி,radio,வானொலிப்பெட்டி   
ꢮꢶꢡ꣄ꢡꢾ,वित्त॑,வித்தெ,magic,வித்தை  
ꢱꢾꢥ꣄ꢡꢸ,स॑न्तु,ஸெந்து,,
ꢮꢷꢠꢾ,वीणा॑,வீணொ,veena,வீணை  
ꢮꢾꢞꢶꢒ꣄,व॑डिक्,வெடி3க்,entertainment,வேடிக்கை  
ꢓꢿꢳ꣄꣄,खेळ,கே2ள்,entertainment,வேடிக்கை  
ꢓꢾꢭ꣄ꢭꢭ꣄,खेल्लल,கெ2ல்லல்,entertainment,வேடிக்கை  
ꢱ꣄ꢮꢬꣁ,स्वरा॑,ஸ்வரொ,voice,ஸ்வரம்  
